# m_a[MeV] g_a Z
0.25 2e-06 0.0
0.2899749006410853 2e-06 0.0
0.3363417720072291 2e-06 0.0
0.3901226876769712 2e-06 0.0
0.45250315038785144 2e-06 0.0
0.5248582242939811 2e-06 0.0
0.6087828457612144 2e-06 0.0012337007190958828
0.7061269808464212 2e-06 0.007308869238180163
0.8190364044437219 2e-06 0.012163801984997783
0.95 2e-06 0.014647343915651841
0.25 3.16764e-06 0.0
0.2899749006410853 3.16764e-06 0.0
0.3363417720072291 3.16764e-06 0.0
0.3901226876769712 3.16764e-06 0.0
0.45250315038785144 3.16764e-06 0.0
0.5248582242939811 3.16764e-06 0.0
0.6087828457612144 3.16764e-06 0.0024992566132026016
0.7061269808464212 3.16764e-06 0.014633799236901775
0.8190364044437219 3.16764e-06 0.02388832320212223
0.95 3.16764e-06 0.027992341515951837
0.25 5.01697e-06 0.0
0.2899749006410853 5.01697e-06 0.0
0.3363417720072291 5.01697e-06 0.0
0.3901226876769712 5.01697e-06 0.0
0.45250315038785144 5.01697e-06 0.0
0.5248582242939811 5.01697e-06 0.0
0.6087828457612144 5.01697e-06 0.005411695649658277
0.7061269808464212 5.01697e-06 0.03144547713207768
0.8190364044437219 5.01697e-06 0.04994243284095956
0.95 5.01697e-06 0.05729980276469042
0.25 7.94597e-06 0.0
0.2899749006410853 7.94597e-06 0.0
0.3363417720072291 7.94597e-06 0.0
0.3901226876769712 7.94597e-06 0.0
0.45250315038785144 7.94597e-06 0.0
0.5248582242939811 7.94597e-06 0.0
0.6087828457612144 7.94597e-06 0.01249917786747011
0.7061269808464212 7.94597e-06 0.07227273321078571
0.8190364044437219 7.94597e-06 0.1157411566415375
0.95 7.94597e-06 0.13186806185768693
0.25 1.2585e-05 0.0
0.2899749006410853 1.2585e-05 0.0
0.3363417720072291 1.2585e-05 0.0
0.3901226876769712 1.2585e-05 0.0
0.45250315038785144 1.2585e-05 0.0
0.5248582242939811 1.2585e-05 0.0
0.6087828457612144 1.2585e-05 0.030010634049076487
0.7061269808464212 1.2585e-05 0.17296390517454635
0.8190364044437219 1.2585e-05 0.2761385254570312
0.95 1.2585e-05 0.3132219611384798
0.25 1.99324e-05 0.0
0.2899749006410853 1.99324e-05 0.0
0.3363417720072291 1.99324e-05 0.0
0.3901226876769712 1.99324e-05 0.0
0.45250315038785144 1.99324e-05 0.0
0.5248582242939811 1.99324e-05 0.0
0.6087828457612144 1.99324e-05 0.07371533194034269
0.7061269808464212 1.99324e-05 0.4225119552121483
0.8190364044437219 1.99324e-05 0.6732290228845779
0.95 1.99324e-05 0.7624225548849207
0.25 3.15693e-05 0.0
0.2899749006410853 3.15693e-05 0.0
0.3363417720072291 3.15693e-05 0.0
0.3901226876769712 3.15693e-05 0.0
0.45250315038785144 3.15693e-05 0.0
0.5248582242939811 3.15693e-05 0.0
0.6087828457612144 3.15693e-05 0.18268537301425986
0.7061269808464212 3.15693e-05 1.0348889671710788
0.8190364044437219 3.15693e-05 1.6456107012958094
0.95 3.15693e-05 1.8631183235130866
0.25 5e-05 0.0
0.2899749006410853 5e-05 0.0
0.3363417720072291 5e-05 0.0
0.3901226876769712 5e-05 0.0
0.45250315038785144 5e-05 0.0
0.5248582242939811 5e-05 0.0
0.6087828457612144 5e-05 0.4529541856409123
0.7061269808464212 5e-05 2.4983822377587943
0.8190364044437219 5e-05 3.955896070156494
0.95 5e-05 4.483653732213686
0.25 6e-05 0.0
0.2899749006410853 6e-05 0.0
0.3363417720072291 6e-05 0.0
0.3901226876769712 6e-05 0.0
0.45250315038785144 6e-05 0.0
