# m_a[MeV] g_a Z
0.25 2e-06 0.0
0.2899749006410853 2e-06 0.0
0.3363417720072291 2e-06 0.0
0.3901226876769712 2e-06 0.0
0.45250315038785144 2e-06 0.0
0.5248582242939811 2e-06 0.0
0.6087828457612144 2e-06 0.004426740252172257
0.7061269808464212 2e-06 0.013616031238757422
0.8190364044437219 2e-06 0.027409321766099594
0.95 2e-06 0.03672457812577376
0.25 3.16764e-06 0.0
0.2899749006410853 3.16764e-06 0.0
0.3363417720072291 3.16764e-06 0.0
0.3901226876769712 3.16764e-06 0.0
0.45250315038785144 3.16764e-06 0.0
0.5248582242939811 3.16764e-06 0.0
0.6087828457612144 3.16764e-06 0.008917688832937792
0.7061269808464212 3.16764e-06 0.027249353092941013
0.8190364044437219 3.16764e-06 0.05431577838353777
0.95 3.16764e-06 0.0711524755823743
0.25 5.01697e-06 0.0
0.2899749006410853 5.01697e-06 0.0
0.3363417720072291 5.01697e-06 0.0
0.3901226876769712 5.01697e-06 0.0
0.45250315038785144 5.01697e-06 0.0
0.5248582242939811 5.01697e-06 0.0
0.6087828457612144 5.01697e-06 0.01923834015002666
0.7061269808464212 5.01697e-06 0.05846857170759541
0.8190364044437219 5.01697e-06 0.11541289343372646
0.95 5.01697e-06 0.1467149590065888
0.25 7.94597e-06 0.0
0.2899749006410853 7.94597e-06 0.0
0.3363417720072291 7.94597e-06 0.0
0.3901226876769712 7.94597e-06 0.0
0.45250315038785144 7.94597e-06 0.0
0.5248582242939811 7.94597e-06 0.0
0.6087828457612144 7.94597e-06 0.044332806774491446
0.7061269808464212 7.94597e-06 0.13442871619012536
0.8190364044437219 7.94597e-06 0.2649624638827037
0.95 7.94597e-06 0.33932152676429955
0.25 1.2585e-05 0.0
0.2899749006410853 1.2585e-05 0.0
0.3363417720072291 1.2585e-05 0.0
0.3901226876769712 1.2585e-05 0.0
0.45250315038785144 1.2585e-05 0.0
0.5248582242939811 1.2585e-05 0.0
0.6087828457612144 1.2585e-05 0.10620782636126375
0.7061269808464212 1.2585e-05 0.3210193403106422
0.8190364044437219 1.2585e-05 0.6303806315432919
0.95 1.2585e-05 0.804365951000861
0.25 1.99324e-05 0.0
0.2899749006410853 1.99324e-05 0.0
0.3363417720072291 1.99324e-05 0.0
0.3901226876769712 1.99324e-05 0.0
0.45250315038785144 1.99324e-05 0.0
0.5248582242939811 1.99324e-05 0.0
0.6087828457612144 1.99324e-05 0.259916607700275
0.7061269808464212 1.99324e-05 0.7804531804373585
0.8190364044437219 1.99324e-05 1.5222266106458047
0.95 1.99324e-05 1.9392013724524835
0.25 3.15693e-05 0.0
0.2899749006410853 3.15693e-05 0.0
0.3363417720072291 3.15693e-05 0.0
0.3901226876769712 3.15693e-05 0.0
0.45250315038785144 3.15693e-05 0.0
0.5248582242939811 3.15693e-05 0.0
0.6087828457612144 3.15693e-05 0.6387735041359007
0.7061269808464212 3.15693e-05 1.8909565346729822
0.8190364044437219 3.15693e-05 3.6381179726978665
0.95 3.15693e-05 4.6295531501252105
0.25 5e-05 0.0
0.2899749006410853 5e-05 0.0
0.3363417720072291 5e-05 0.0
0.3901226876769712 5e-05 0.0
0.45250315038785144 5e-05 0.0
0.5248582242939811 5e-05 0.0
0.6087828457612144 5e-05 1.5533314027697207
0.7061269808464212 5e-05 4.4608591400217525
0.8190364044437219 5e-05 8.362477028644891
0.95 5e-05 10.631042054491346
0.25 6e-05 0.0
0.2899749006410853 6e-05 0.0
0.3363417720072291 6e-05 0.0
0.3901226876769712 6e-05 0.0
0.45250315038785144 6e-05 0.0
0.5248582242939811 6e-05 0.0
