# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.908228e-18
-1.330000e+01  6.000  1.242004e-14
-1.330000e+01  8.000  6.008063e-11
-1.330000e+01  9.000  5.729226e-09
-1.330000e+01  11.000  7.036460e-07
-1.330000e+01  14.000  3.231632e-05
-1.330000e+01  17.000  3.148355e-04
-1.330000e+01  21.000  2.235254e-03
-1.330000e+01  26.000  6.336097e-03
-1.330000e+01  32.000  1.237087e-02
-1.330000e+01  39.000  1.516327e-02
-1.330000e+01  48.000  3.091504e-02
-1.330000e+01  58.000  1.744448e-02
-1.330000e+01  88.000  1.798943e-02
-1.330000e+01  108.000  5.992187e-03
-1.330000e+01  132.000  4.291586e-03
-1.330000e+01  162.000  3.418911e-03
-1.330000e+01  199.000  1.322269e-03
-1.330000e+01  244.000  2.514433e-04
-1.330000e+01  300.000  9.368431e-05
-1.370000e+01  5.000  4.200423e-14
-1.370000e+01  6.000  5.168775e-11
-1.370000e+01  8.000  2.418806e-08
-1.370000e+01  9.000  1.165611e-06
-1.370000e+01  11.000  3.384752e-05
-1.370000e+01  14.000  5.720353e-04
-1.370000e+01  17.000  3.106535e-03
-1.370000e+01  21.000  1.125587e-02
-1.370000e+01  26.000  2.093080e-02
-1.370000e+01  32.000  1.932670e-02
-1.370000e+01  39.000  1.127073e-01
-1.370000e+01  48.000  5.230822e-02
-1.370000e+01  58.000  6.094024e-02
-1.370000e+01  88.000  2.673304e-02
-1.370000e+01  108.000  1.423728e-02
-1.370000e+01  132.000  9.072105e-03
-1.370000e+01  162.000  5.189863e-03
-1.370000e+01  199.000  1.780253e-03
-1.370000e+01  244.000  4.685950e-04
-1.370000e+01  300.000  3.017431e-04
-1.400000e+01  5.000  1.663968e-10
-1.400000e+01  6.000  2.590510e-08
-1.400000e+01  8.000  2.623619e-06
-1.400000e+01  9.000  6.632062e-05
-1.400000e+01  11.000  8.477652e-04
-1.400000e+01  14.000  4.628983e-03
-1.400000e+01  17.000  2.800473e-02
-1.400000e+01  21.000  5.326638e-02
-1.400000e+01  26.000  8.270265e-02
-1.400000e+01  32.000  2.102234e-01
-1.400000e+01  39.000  2.640098e-01
-1.400000e+01  48.000  1.440285e-01
-1.400000e+01  58.000  2.307458e-01
-1.400000e+01  88.000  4.748205e-02
-1.400000e+01  108.000  3.960401e-02
-1.400000e+01  132.000  2.469598e-02
-1.400000e+01  162.000  1.004995e-02
-1.400000e+01  199.000  2.339504e-03
-1.400000e+01  244.000  9.934655e-04
-1.400000e+01  300.000  9.298850e-04
-1.430000e+01  5.000  1.146311e-07
