# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  3.597087e-18
-1.330000e+01  6.000  3.456685e-14
-1.330000e+01  8.000  2.392725e-10
-1.330000e+01  9.000  2.963778e-08
-1.330000e+01  11.000  4.623378e-06
-1.330000e+01  14.000  2.598847e-04
-1.330000e+01  17.000  2.965388e-03
-1.330000e+01  21.000  2.385718e-02
-1.330000e+01  26.000  7.425454e-02
-1.330000e+01  32.000  1.551960e-01
-1.330000e+01  39.000  2.038136e-01
-1.330000e+01  48.000  4.271442e-01
-1.330000e+01  58.000  2.447099e-01
-1.330000e+01  88.000  2.572197e-01
-1.330000e+01  108.000  8.742937e-02
-1.330000e+01  132.000  6.341758e-02
-1.330000e+01  162.000  5.105235e-02
-1.330000e+01  199.000  1.992482e-02
-1.330000e+01  244.000  3.815202e-03
-1.330000e+01  300.000  1.431132e-03
-1.370000e+01  5.000  1.269227e-13
-1.370000e+01  6.000  2.121165e-10
-1.370000e+01  8.000  1.318155e-07
-1.370000e+01  9.000  7.829731e-06
-1.370000e+01  11.000  2.713866e-04
-1.370000e+01  14.000  5.358795e-03
-1.370000e+01  17.000  3.264676e-02
-1.370000e+01  21.000  1.300365e-01
-1.370000e+01  26.000  2.594548e-01
-1.370000e+01  32.000  2.521617e-01
-1.370000e+01  39.000  1.549927e+00
-1.370000e+01  48.000  7.300415e-01
-1.370000e+01  58.000  8.652871e-01
-1.370000e+01  88.000  3.886735e-01
-1.370000e+01  108.000  2.100544e-01
-1.370000e+01  132.000  1.353323e-01
-1.370000e+01  162.000  7.806985e-02
-1.370000e+01  199.000  2.699563e-02
-1.370000e+01  244.000  7.148872e-03
-1.370000e+01  300.000  4.627468e-03
-1.400000e+01  5.000  7.254587e-10
-1.400000e+01  6.000  1.442908e-07
-1.400000e+01  8.000  1.806415e-05
-1.400000e+01  9.000  5.367390e-04
-1.400000e+01  11.000  7.887994e-03
-1.400000e+01  14.000  4.844378e-02
-1.400000e+01  17.000  3.201592e-01
-1.400000e+01  21.000  6.533674e-01
-1.400000e+01  26.000  1.069433e+00
-1.400000e+01  32.000  2.823526e+00
-1.400000e+01  39.000  3.662152e+00
-1.400000e+01  48.000  2.041394e+00
-1.400000e+01  58.000  3.332042e+00
-1.400000e+01  88.000  6.997406e-01
-1.400000e+01  108.000  5.896725e-01
-1.400000e+01  132.000  3.713753e-01
-1.400000e+01  162.000  1.522364e-01
-1.400000e+01  199.000  3.565920e-02
-1.400000e+01  244.000  1.522300e-02
-1.400000e+01  300.000  1.431237e-02
-1.430000e+01  5.000  6.627737e-07
-1.430000e+01  6.000  4.970079e-05
-1.430000e+01  8.000  1.351938e-03
-1.430000e+01  9.000  1.888393e-02
-1.430000e+01  11.000  9.183416e-02
-1.430000e+01  14.000  3.998203e-01
-1.430000e+01  17.000  1.453712e+00
-1.430000e+01  21.000  2.380522e+00
-1.430000e+01  26.000  6.709377e+00
-1.430000e+01  32.000  4.067522e+00
-1.430000e+01  39.000  7.258074e+00
-1.430000e+01  48.000  1.339881e+01
-1.430000e+01  58.000  6.001448e+00
-1.430000e+01  88.000  1.943027e+00
-1.430000e+01  108.000  1.313151e+00
-1.430000e+01  132.000  6.075226e-01
-1.430000e+01  162.000  1.799352e-01
-1.430000e+01  199.000  7.999643e-02
-1.430000e+01  244.000  5.720565e-02
-1.430000e+01  300.000  1.994158e-02
-1.470000e+01  5.000  1.092821e-04
-1.470000e+01  6.000  3.036811e-03
-1.470000e+01  8.000  2.705220e-02
-1.470000e+01  9.000  1.825681e-01
-1.470000e+01  11.000  7.357032e-01
-1.470000e+01  14.000  2.975798e+00
-1.470000e+01  17.000  4.379642e+00
-1.470000e+01  21.000  4.023414e+00
-1.470000e+01  26.000  1.006547e+01
-1.470000e+01  32.000  1.174554e+01
-1.470000e+01  39.000  1.288228e+01
-1.470000e+01  48.000  6.382912e+00
-1.470000e+01  58.000  5.460437e+00
-1.470000e+01  88.000  2.899320e+00
-1.470000e+01  108.000  1.569299e+00
-1.470000e+01  132.000  6.268349e-01
-1.470000e+01  162.000  1.988817e-01
-1.470000e+01  199.000  1.222136e-01
-1.470000e+01  244.000  8.216068e-02
-1.470000e+01  300.000  8.065063e-03
-1.500000e+01  5.000  5.638637e-03
-1.500000e+01  6.000  5.872836e-02
-1.500000e+01  8.000  3.872697e-01
-1.500000e+01  9.000  1.491569e+00
-1.500000e+01  11.000  4.774601e+00
-1.500000e+01  14.000  8.991662e+00
-1.500000e+01  17.000  1.482971e+01
-1.500000e+01  21.000  1.820050e+01
-1.500000e+01  26.000  1.638731e+01
-1.500000e+01  32.000  1.586273e+01
-1.500000e+01  39.000  1.900148e+01
-1.500000e+01  48.000  1.990809e+01
-1.500000e+01  58.000  9.131090e+00
-1.500000e+01  88.000  4.001284e+00
-1.500000e+01  108.000  2.031315e+00
-1.500000e+01  132.000  8.292192e-01
-1.500000e+01  162.000  4.314420e-01
-1.500000e+01  199.000  2.849594e-01
-1.500000e+01  244.000  5.744295e-02
-1.500000e+01  300.000  2.107884e-03
-1.530000e+01  5.000  1.121276e-01
-1.530000e+01  6.000  7.049739e-01
-1.530000e+01  8.000  2.113458e+00
-1.530000e+01  9.000  7.160837e+00
-1.530000e+01  11.000  1.428562e+01
-1.530000e+01  14.000  2.175535e+01
-1.530000e+01  17.000  2.574640e+01
-1.530000e+01  21.000  3.348993e+01
-1.530000e+01  26.000  3.920189e+01
-1.530000e+01  32.000  4.031200e+01
-1.530000e+01  39.000  3.693111e+01
-1.530000e+01  48.000  1.950902e+01
-1.530000e+01  58.000  1.659071e+01
-1.530000e+01  88.000  5.126066e+00
-1.530000e+01  108.000  2.185578e+00
-1.530000e+01  132.000  1.085650e+00
-1.530000e+01  162.000  7.773242e-01
-1.530000e+01  199.000  2.394934e-01
-1.530000e+01  244.000  1.841580e-02
-1.530000e+01  300.000  4.883912e-04
-1.570000e+01  5.000  8.107127e-01
-1.570000e+01  6.000  2.646121e+00
-1.570000e+01  8.000  6.001810e+00
-1.570000e+01  9.000  1.369920e+01
-1.570000e+01  11.000  1.883975e+01
-1.570000e+01  14.000  1.589421e+01
-1.570000e+01  17.000  2.802887e+01
-1.570000e+01  21.000  3.841630e+01
-1.570000e+01  26.000  3.828890e+01
-1.570000e+01  32.000  3.131938e+01
-1.570000e+01  39.000  3.038995e+01
-1.570000e+01  48.000  2.183448e+01
-1.570000e+01  58.000  1.500454e+01
-1.570000e+01  88.000  3.729156e+00
-1.570000e+01  108.000  2.124453e+00
-1.570000e+01  132.000  1.286324e+00
-1.570000e+01  162.000  5.254683e-01
-1.570000e+01  199.000  6.701927e-02
-1.570000e+01  244.000  3.176179e-03
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  3.273419e+00
-1.600000e+01  6.000  8.739691e+00
-1.600000e+01  8.000  1.306735e+01
-1.600000e+01  9.000  2.183179e+01
-1.600000e+01  11.000  2.119983e+01
-1.600000e+01  14.000  3.644974e+01
-1.600000e+01  17.000  4.071852e+01
-1.600000e+01  21.000  5.312502e+01
-1.600000e+01  26.000  4.856944e+01
-1.600000e+01  32.000  3.798213e+01
-1.600000e+01  39.000  3.244153e+01
-1.600000e+01  48.000  2.000055e+01
-1.600000e+01  58.000  1.351950e+01
-1.600000e+01  88.000  4.406875e+00
-1.600000e+01  108.000  2.437157e+00
-1.600000e+01  132.000  1.141640e+00
-1.600000e+01  162.000  1.979024e-01
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
