# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  7.468894e-12
-1.330000e+01  6.000  2.583115e-09
-1.330000e+01  8.000  8.070559e-07
-1.330000e+01  9.000  1.114061e-05
-1.330000e+01  11.000  2.298627e-04
-1.330000e+01  14.000  2.360518e-03
-1.330000e+01  17.000  7.394511e-03
-1.330000e+01  21.000  2.181613e-02
-1.330000e+01  26.000  3.264788e-02
-1.330000e+01  32.000  4.054218e-02
-1.330000e+01  39.000  3.177319e-02
-1.330000e+01  48.000  5.447706e-02
-1.330000e+01  58.000  2.812642e-02
-1.330000e+01  88.000  2.636956e-02
-1.330000e+01  108.000  8.118468e-03
-1.330000e+01  132.000  5.576380e-03
-1.330000e+01  162.000  4.321344e-03
-1.330000e+01  199.000  1.636196e-03
-1.330000e+01  244.000  3.065243e-04
-1.330000e+01  300.000  1.126423e-04
-1.370000e+01  5.000  5.133322e-09
-1.370000e+01  6.000  6.319117e-07
-1.370000e+01  8.000  3.404428e-05
-1.370000e+01  9.000  3.511644e-04
-1.370000e+01  11.000  2.726584e-03
-1.370000e+01  14.000  1.460309e-02
-1.370000e+01  17.000  3.477464e-02
-1.370000e+01  21.000  6.492343e-02
-1.370000e+01  26.000  7.471941e-02
-1.370000e+01  32.000  4.933359e-02
-1.370000e+01  39.000  2.041792e-01
-1.370000e+01  48.000  8.670259e-02
-1.370000e+01  58.000  9.169087e-02
-1.370000e+01  88.000  3.642078e-02
-1.370000e+01  108.000  1.849763e-02
-1.370000e+01  132.000  1.145938e-02
-1.370000e+01  162.000  6.435274e-03
-1.370000e+01  199.000  2.170230e-03
-1.370000e+01  244.000  5.644645e-04
-1.370000e+01  300.000  3.599471e-04
-1.400000e+01  5.000  1.375976e-06
-1.400000e+01  6.000  3.407692e-05
-1.400000e+01  8.000  6.869306e-04
-1.400000e+01  9.000  5.283997e-03
-1.400000e+01  11.000  2.398400e-02
-1.400000e+01  14.000  5.510758e-02
-1.400000e+01  17.000  1.773253e-01
-1.400000e+01  21.000  2.063154e-01
-1.400000e+01  26.000  2.235588e-01
-1.400000e+01  32.000  4.427542e-01
-1.400000e+01  39.000  4.532835e-01
-1.400000e+01  48.000  2.179103e-01
-1.400000e+01  58.000  3.191387e-01
-1.400000e+01  88.000  6.154275e-02
-1.400000e+01  108.000  5.005693e-02
-1.400000e+01  132.000  3.054525e-02
-1.400000e+01  162.000  1.225408e-02
-1.400000e+01  199.000  2.819495e-03
-1.400000e+01  244.000  1.185902e-03
-1.400000e+01  300.000  1.101501e-03
-1.430000e+01  5.000  1.191490e-04
-1.430000e+01  6.000  1.651711e-03
-1.430000e+01  8.000  1.145523e-02
-1.430000e+01  9.000  5.669493e-02
-1.430000e+01  11.000  1.140283e-01
-1.430000e+01  14.000  2.359578e-01
-1.430000e+01  17.000  4.971620e-01
-1.430000e+01  21.000  5.343742e-01
-1.430000e+01  26.000  1.101207e+00
-1.430000e+01  32.000  5.495259e-01
-1.430000e+01  39.000  7.719949e-01
-1.430000e+01  48.000  1.284012e+00
-1.430000e+01  58.000  5.373893e-01
-1.430000e+01  88.000  1.642925e-01
-1.430000e+01  108.000  1.079417e-01
-1.430000e+01  132.000  4.885755e-02
-1.430000e+01  162.000  1.421767e-02
-1.430000e+01  199.000  6.229423e-03
-1.430000e+01  244.000  4.394026e-03
-1.430000e+01  300.000  1.517963e-03
-1.470000e+01  5.000  3.160296e-03
-1.470000e+01  6.000  2.426303e-02
-1.470000e+01  8.000  7.328130e-02
-1.470000e+01  9.000  2.252311e-01
-1.470000e+01  11.000  4.581424e-01
-1.470000e+01  14.000  1.063060e+00
-1.470000e+01  17.000  1.031423e+00
-1.470000e+01  21.000  6.911819e-01
-1.470000e+01  26.000  1.425521e+00
-1.470000e+01  32.000  1.458961e+00
-1.470000e+01  39.000  1.248957e+00
-1.470000e+01  48.000  5.746727e-01
-1.470000e+01  58.000  4.652516e-01
-1.470000e+01  88.000  2.378862e-01
-1.470000e+01  108.000  1.258476e-01
-1.470000e+01  132.000  4.938838e-02
-1.470000e+01  162.000  1.544809e-02
-1.470000e+01  199.000  9.365578e-03
-1.470000e+01  244.000  6.252340e-03
-1.470000e+01  300.000  6.128713e-04
-1.500000e+01  5.000  3.988162e-02
-1.500000e+01  6.000  1.577946e-01
-1.500000e+01  8.000  4.511456e-01
-1.500000e+01  9.000  9.318151e-01
-1.500000e+01  11.000  1.769685e+00
-1.500000e+01  14.000  2.185912e+00
-1.500000e+01  17.000  2.629749e+00
-1.500000e+01  21.000  2.710592e+00
-1.500000e+01  26.000  2.061049e+00
-1.500000e+01  32.000  1.672443e+00
-1.500000e+01  39.000  1.719611e+00
-1.500000e+01  48.000  1.697443e+00
-1.500000e+01  58.000  7.498856e-01
-1.500000e+01  88.000  3.195547e-01
-1.500000e+01  108.000  1.592894e-01
-1.500000e+01  132.000  6.410813e-02
-1.500000e+01  162.000  3.291168e-02
-1.500000e+01  199.000  2.164376e-02
-1.500000e+01  244.000  4.362004e-03
-1.500000e+01  300.000  1.596516e-04
-1.530000e+01  5.000  2.736087e-01
-1.530000e+01  6.000  8.134282e-01
-1.530000e+01  8.000  1.271342e+00
-1.530000e+01  9.000  2.663695e+00
-1.530000e+01  11.000  3.574378e+00
-1.530000e+01  14.000  3.938782e+00
-1.530000e+01  17.000  3.994788e+00
-1.530000e+01  21.000  4.234530e+00
-1.530000e+01  26.000  4.194987e+00
-1.530000e+01  32.000  3.859188e+00
-1.530000e+01  39.000  3.153023e+00
-1.530000e+01  48.000  1.598796e+00
-1.530000e+01  58.000  1.319060e+00
-1.530000e+01  88.000  3.995269e-01
-1.530000e+01  108.000  1.678804e-01
-1.530000e+01  132.000  8.225931e-02
-1.530000e+01  162.000  5.882003e-02
-1.530000e+01  199.000  1.814078e-02
-1.530000e+01  244.000  1.392703e-03
-1.530000e+01  300.000  3.677380e-05
-1.570000e+01  5.000  8.822809e-01
-1.570000e+01  6.000  1.582820e+00
-1.570000e+01  8.000  2.191619e+00
-1.570000e+01  9.000  3.421579e+00
-1.570000e+01  11.000  3.481386e+00
-1.570000e+01  14.000  2.541075e+00
-1.570000e+01  17.000  3.593506e+00
-1.570000e+01  21.000  4.155069e+00
-1.570000e+01  26.000  3.734487e+00
-1.570000e+01  32.000  2.818160e+00
-1.570000e+01  39.000  2.485975e+00
-1.570000e+01  48.000  1.728598e+00
-1.570000e+01  58.000  1.159150e+00
-1.570000e+01  88.000  2.842342e-01
-1.570000e+01  108.000  1.601095e-01
-1.570000e+01  132.000  9.680756e-02
-1.570000e+01  162.000  3.963558e-02
-1.570000e+01  199.000  5.050374e-03
-1.570000e+01  244.000  2.384422e-04
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  1.903665e+00
-1.600000e+01  6.000  3.179498e+00
-1.600000e+01  8.000  3.243461e+00
-1.600000e+01  9.000  4.064847e+00
-1.600000e+01  11.000  3.471795e+00
-1.600000e+01  14.000  4.680793e+00
-1.600000e+01  17.000  4.419526e+00
-1.600000e+01  21.000  5.201295e+00
-1.600000e+01  26.000  4.379772e+00
-1.600000e+01  32.000  3.242854e+00
-1.600000e+01  39.000  2.557749e+00
-1.600000e+01  48.000  1.535983e+00
-1.600000e+01  58.000  1.017836e+00
-1.600000e+01  88.000  3.290510e-01
-1.600000e+01  108.000  1.822081e-01
-1.600000e+01  132.000  8.552532e-02
-1.600000e+01  162.000  1.482518e-02
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
-1.600000e+01  3.000000e+02  0.0
-1.630000e+01  5.000  4.353119e+00
-1.630000e+01  6.000  4.507851e+00
-1.630000e+01  8.000  4.113792e+00
-1.630000e+01  9.000  4.134525e+00
-1.630000e+01  11.000  5.400096e+00
-1.630000e+01  14.000  5.400736e+00
-1.630000e+01  17.000  6.248952e+00
-1.630000e+01  21.000  4.423731e+00
-1.630000e+01  26.000  3.762147e+00
-1.630000e+01  32.000  2.956292e+00
-1.630000e+01  39.000  2.067444e+00
-1.630000e+01  48.000  1.361250e+00
-1.630000e+01  58.000  8.587580e-01
-1.630000e+01  88.000  3.054223e-01
-1.630000e+01  108.000  1.362112e-01
-1.630000e+01  132.000  2.888134e-02
-1.630000e+01  1.620000e+02  0.0
-1.630000e+01  1.990000e+02  0.0
-1.630000e+01  2.440000e+02  0.0
-1.630000e+01  3.000000e+02  0.0
-1.670000e+01  5.000  4.240917e+00
-1.670000e+01  6.000  5.009523e+00
-1.670000e+01  8.000  3.423356e+00
-1.670000e+01  9.000  5.176152e+00
-1.670000e+01  11.000  4.691530e+00
-1.670000e+01  14.000  5.589682e+00
-1.670000e+01  17.000  4.835103e+00
-1.670000e+01  21.000  3.567357e+00
-1.670000e+01  26.000  2.739378e+00
-1.670000e+01  32.000  1.804105e+00
-1.670000e+01  39.000  1.308433e+00
-1.670000e+01  48.000  8.516507e-01
-1.670000e+01  58.000  5.597162e-01
-1.670000e+01  88.000  1.462660e-01
-1.670000e+01  108.000  3.352523e-02
-1.670000e+01  1.320000e+02  0.0
-1.670000e+01  1.620000e+02  0.0
-1.670000e+01  1.990000e+02  0.0
-1.670000e+01  2.440000e+02  0.0
-1.670000e+01  3.000000e+02  0.0
-1.700000e+01  5.000  6.125821e+00
-1.700000e+01  6.000  5.283300e+00
-1.700000e+01  8.000  5.500905e+00
-1.700000e+01  9.000  8.070948e+00
-1.700000e+01  11.000  6.790057e+00
-1.700000e+01  14.000  4.712631e+00
-1.700000e+01  17.000  4.319878e+00
-1.700000e+01  21.000  2.995042e+00
-1.700000e+01  26.000  2.097473e+00
-1.700000e+01  32.000  1.430512e+00
-1.700000e+01  39.000  1.020620e+00
-1.700000e+01  48.000  6.367244e-01
-1.700000e+01  58.000  4.113772e-01
-1.700000e+01  88.000  4.331429e-02
-1.700000e+01  1.080000e+02  0.0
-1.700000e+01  1.320000e+02  0.0
-1.700000e+01  1.620000e+02  0.0
-1.700000e+01  1.990000e+02  0.0
-1.700000e+01  2.440000e+02  0.0
-1.700000e+01  3.000000e+02  0.0
-1.730000e+01  5.000  6.010133e+00
-1.730000e+01  6.000  1.004806e+01
-1.730000e+01  8.000  6.984330e+00
-1.730000e+01  9.000  8.441884e+00
-1.730000e+01  11.000  6.341336e+00
-1.730000e+01  14.000  4.979046e+00
-1.730000e+01  17.000  3.611543e+00
-1.730000e+01  21.000  2.218524e+00
-1.730000e+01  26.000  1.424938e+00
-1.730000e+01  32.000  1.128839e+00
-1.730000e+01  39.000  7.811009e-01
-1.730000e+01  48.000  4.616115e-01
-1.730000e+01  58.000  1.899319e-01
-1.730000e+01  8.800000e+01  0.0
-1.730000e+01  1.080000e+02  0.0
-1.730000e+01  1.320000e+02  0.0
-1.730000e+01  1.620000e+02  0.0
-1.730000e+01  1.990000e+02  0.0
-1.730000e+01  2.440000e+02  0.0
-1.730000e+01  3.000000e+02  0.0
-1.770000e+01  5.000  8.352523e+00
-1.770000e+01  6.000  9.811669e+00
-1.770000e+01  8.000  6.875696e+00
-1.770000e+01  9.000  6.898511e+00
-1.770000e+01  11.000  4.962288e+00
-1.770000e+01  14.000  3.141100e+00
-1.770000e+01  17.000  2.173631e+00
-1.770000e+01  21.000  1.284191e+00
-1.770000e+01  26.000  8.915017e-01
-1.770000e+01  32.000  6.933755e-01
-1.770000e+01  39.000  4.348502e-01
-1.770000e+01  48.000  1.537173e-01
-1.770000e+01  5.800000e+01  0.0
-1.770000e+01  8.800000e+01  0.0
-1.770000e+01  1.080000e+02  0.0
-1.770000e+01  1.320000e+02  0.0
-1.770000e+01  1.620000e+02  0.0
-1.770000e+01  1.990000e+02  0.0
-1.770000e+01  2.440000e+02  0.0
-1.770000e+01  3.000000e+02  0.0
-1.800000e+01  5.000  9.133789e+00
-1.800000e+01  6.000  9.841659e+00
-1.800000e+01  8.000  5.807851e+00
-1.800000e+01  9.000  6.200789e+00
-1.800000e+01  11.000  4.212515e+00
-1.800000e+01  14.000  2.355231e+00
-1.800000e+01  17.000  1.645859e+00
-1.800000e+01  21.000  1.031259e+00
-1.800000e+01  26.000  7.810041e-01
-1.800000e+01  32.000  4.386655e-01
-1.800000e+01  39.000  1.650155e-01
-1.800000e+01  4.800000e+01  0.0
-1.800000e+01  5.800000e+01  0.0
-1.800000e+01  8.800000e+01  0.0
-1.800000e+01  1.080000e+02  0.0
-1.800000e+01  1.320000e+02  0.0
-1.800000e+01  1.620000e+02  0.0
-1.800000e+01  1.990000e+02  0.0
-1.800000e+01  2.440000e+02  0.0
-1.800000e+01  3.000000e+02  0.0
-1.830000e+01  5.000  8.697174e+00
-1.830000e+01  6.000  7.985361e+00
-1.830000e+01  8.000  5.025085e+00
-1.830000e+01  9.000  4.854611e+00
-1.830000e+01  11.000  3.180507e+00
-1.830000e+01  14.000  1.984104e+00
-1.830000e+01  17.000  1.235807e+00
-1.830000e+01  21.000  8.957048e-01
-1.830000e+01  26.000  4.776680e-01
-1.830000e+01  32.000  1.685200e-01
-1.830000e+01  3.900000e+01  0.0
-1.830000e+01  4.800000e+01  0.0
-1.830000e+01  5.800000e+01  0.0
-1.830000e+01  8.800000e+01  0.0
-1.830000e+01  1.080000e+02  0.0
-1.830000e+01  1.320000e+02  0.0
-1.830000e+01  1.620000e+02  0.0
-1.830000e+01  1.990000e+02  0.0
-1.830000e+01  2.440000e+02  0.0
-1.830000e+01  3.000000e+02  0.0
-1.870000e+01  5.000  6.763362e+00
-1.870000e+01  6.000  5.665090e+00
-1.870000e+01  8.000  3.004483e+00
-1.870000e+01  9.000  2.803394e+00
-1.870000e+01  11.000  2.098401e+00
-1.870000e+01  14.000  1.163734e+00
-1.870000e+01  17.000  8.245975e-01
-1.870000e+01  21.000  4.624954e-01
