# log10(y)    mass[MeV]    Nhits
-13.3  5  1.566582e-18
-13.7  5  3.748445e-14
-14  5  1.394060e-10
-14.3  5  8.813447e-08
-14.7  5  1.338826e-05
-15  5  9.087397e-04
-15.3  5  2.607482e-02
-15.7  5  2.482144e-01
-16  5  1.159902e+00
-16.3  5  4.455313e+00
-16.7  5  6.078391e+00
-17  5  1.066648e+01
-17.3  5  1.126469e+01
-17.7  5  1.777282e+01
-18  5  1.950748e+01
-18.3  5  1.773794e+01
-18.7  5  1.259086e+01
-19  5  9.518558e+00
-19.3  5  6.527751e+00
-19.7  5  3.139801e+00
-20  5  1.964681e+00
-20.3  5  1.194357e+00
-20.7  5  6.043481e-01
-21  5  3.448239e-01
-21.3  5  1.200347e-01
-21.7  5  1.908753e-02
-2.200000e+01  5.000000e+00  0.0
-13.3  6  4.650811e-15
-13.7  6  3.883366e-11
-14  6  3.062534e-08
-14.3  6  1.074156e-05
-14.7  6  6.149158e-04
-15  6  1.108764e-02
-15.3  6  1.373168e-01
-15.7  6  6.059599e-01
-16  6  2.421645e+00
-16.3  6  5.804068e+00
-16.7  6  9.029055e+00
-17  6  1.068783e+01
-17.3  6  2.578916e+01
-17.7  6  2.680045e+01
-18  6  2.714766e+01
-18.3  6  2.140595e+01
-18.7  6  1.416997e+01
-19  6  1.029428e+01
-19.3  6  6.694474e+00
-19.7  6  3.094373e+00
-20  6  2.059732e+00
-20.3  6  1.492247e+00
-20.7  6  6.851991e-01
-21  6  2.284276e-01
-21.3  6  4.907485e-02
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  7.079454e-11
-13.7  8  3.271468e-08
-14  8  3.837440e-06
-14.3  8  2.567440e-04
-14.7  8  4.918044e-03
-15  8  7.145885e-02
-15.3  8  4.078228e-01
-15.7  8  1.237534e+00
-16  8  2.992525e+00
-16.3  8  5.772165e+00
-16.7  8  5.760068e+00
-17  8  1.378509e+01
-17.3  8  2.141507e+01
-17.7  8  2.318760e+01
-18  8  2.070800e+01
-18.3  8  1.825317e+01
-18.7  8  1.075097e+01
-19  8  7.503967e+00
-19.3  8  4.967071e+00
-19.7  8  2.558600e+00
-20  8  2.077335e+00
-20.3  8  1.240234e+00
-20.7  8  3.456562e-01
-21  8  7.627799e-02
