# log10(y)    mass[MeV]    Nhits
-13.3  5  3.180700e-20
-13.7  5  1.386421e-15
-14  5  1.358868e-11
-14.3  5  2.326837e-08
-14.7  5  6.393071e-06
-15  5  4.623590e-04
-15.3  5  1.094031e-02
-15.7  5  8.353163e-02
-16  5  3.337107e-01
-16.3  5  1.218926e+00
-16.7  5  1.764932e+00
-17  5  3.476208e+00
-17.3  5  3.944766e+00
-17.7  5  7.891764e+00
-18  5  1.019590e+01
-18.3  5  1.074096e+01
-18.7  5  8.875916e+00
-19  5  7.816069e+00
-19.3  5  6.073357e+00
-19.7  5  3.295498e+00
-20  5  2.313411e+00
-20.3  5  1.599943e+00
-20.7  5  8.679787e-01
-21  5  5.140163e-01
-21.3  5  1.914622e-01
-21.7  5  3.338878e-02
-2.200000e+01  5.000000e+00  0.0
-13.3  6  4.802741e-15
-13.7  6  3.112444e-11
-14  6  2.052779e-08
-14.3  6  6.414319e-06
-14.7  6  3.486732e-04
-15  6  6.240240e-03
-15.3  6  7.469729e-02
-15.7  6  2.916931e-01
-16  6  9.925225e-01
-16.3  6  2.091888e+00
-16.7  6  3.086447e+00
-17  6  3.649991e+00
-17.3  6  9.589951e+00
-17.7  6  1.104424e+01
-18  6  1.245965e+01
-18.3  6  1.109274e+01
-18.7  6  8.368667e+00
-19  6  6.807364e+00
-19.3  6  4.960045e+00
-19.7  6  2.622393e+00
-20  6  1.944614e+00
-20.3  6  1.514012e+00
-20.7  6  7.264089e-01
-21  6  2.602914e-01
-21.3  6  6.182874e-02
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  3.175723e-11
-13.7  8  2.041943e-08
-14  8  3.287201e-06
-14.3  8  2.772177e-04
-14.7  8  5.780884e-03
-15  8  8.014904e-02
-15.3  8  4.022887e-01
-15.7  8  1.032567e+00
-16  8  2.049443e+00
-16.3  8  3.230142e+00
-16.7  8  2.935893e+00
-17  8  5.748951e+00
-17.3  8  8.290624e+00
-17.7  8  8.932416e+00
-18  8  8.234198e+00
-18.3  8  7.706523e+00
-18.7  8  4.849610e+00
-19  8  3.655282e+00
-19.3  8  2.679237e+00
-19.7  8  1.509614e+00
-20  8  1.305793e+00
-20.3  8  8.113917e-01
-20.7  8  2.432554e-01
-21  8  5.930503e-02
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  2.574643e-09
-13.7  9  7.208128e-07
-14  9  5.859105e-05
-14.3  9  2.589287e-03
-14.7  9  3.018447e-02
-15  9  2.737694e-01
-15.3  9  1.344085e+00
-15.7  9  2.486491e+00
-16  9  3.740340e+00
-16.3  9  4.141200e+00
-16.7  9  6.188839e+00
-17  9  1.056515e+01
-17.3  9  1.169892e+01
-17.7  9  1.006534e+01
-18  9  9.414789e+00
-18.3  9  7.482714e+00
-18.7  9  4.277969e+00
-19  9  2.987047e+00
-19.3  9  2.104336e+00
-19.7  9  1.306288e+00
-20  9  7.461728e-01
-20.3  9  2.620618e-01
-20.7  9  4.863610e-02
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
