# log10(y)    mass[MeV]    Nhits
-13.3  5  9.960677e-08
-13.7  5  3.757689e-06
-14  5  1.220834e-04
-14.3  5  2.300197e-03
-14.7  5  1.980700e-02
-15  5  1.104095e-01
-15.3  5  4.270136e-01
-15.7  5  9.085138e-01
-16  5  1.400304e+00
-16.3  5  2.368104e+00
-16.7  5  1.712714e+00
-17  5  1.879326e+00
-17.3  5  1.585504e+00
-17.7  5  1.335496e+00
-18  5  1.037330e+00
-18.3  5  7.387854e-01
-18.7  5  4.359647e-01
-19  5  2.922087e-01
-19.3  5  1.898362e-01
-19.7  5  8.965401e-02
-20  5  5.664794e-02
-20.3  5  3.575583e-02
-20.7  5  1.864697e-02
-21  5  1.083976e-02
-21.3  5  3.918658e-03
-21.7  5  6.606447e-04
-2.200000e+01  5.000000e+00  0.0
-13.3  6  3.402721e-06
-13.7  6  8.907053e-05
-14  6  8.867555e-04
-14.3  6  1.242538e-02
-14.7  6  7.771527e-02
-15  6  2.710381e-01
-15.3  6  8.768733e-01
-15.7  6  1.188780e+00
-16  6  1.779069e+00
-16.3  6  1.920037e+00
-16.7  6  1.656002e+00
-17  6  1.543322e+00
-17.3  6  1.869676e+00
-17.7  6  1.329714e+00
-18  6  1.005078e+00
-18.3  6  6.146423e-01
-18.7  6  3.317044e-01
-19  6  2.122757e-01
-19.3  6  1.266858e-01
-19.7  6  5.552645e-02
-20  6  3.661671e-02
-20.3  6  2.674620e-02
-20.7  6  1.240674e-02
-21  6  4.236685e-03
-21.3  6  9.536085e-04
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  1.091241e-04
-13.7  8  8.485785e-04
-14  8  5.354508e-03
-14.3  8  3.848503e-02
-14.7  8  1.346652e-01
-15  8  5.329175e-01
-15.3  8  1.042766e+00
-15.7  8  1.322089e+00
-16  8  1.483287e+00
-16.3  8  1.461578e+00
-16.7  8  1.075083e+00
-17  8  1.205315e+00
-17.3  8  1.122553e+00
-17.7  8  8.637527e-01
-18  8  5.651472e-01
-18.3  8  3.765351e-01
-18.7  8  1.804021e-01
-19  8  1.055080e-01
-19.3  8  5.908623e-02
-19.7  8  2.758047e-02
-20  8  2.137448e-02
-20.3  8  1.250478e-02
-20.7  8  3.410639e-03
-21  8  7.517457e-04
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  2.780966e-04
-13.7  9  2.644695e-03
-14  9  1.795744e-02
-14.3  9  1.071178e-01
-14.7  9  2.764094e-01
-15  9  8.068163e-01
-15.3  9  1.702885e+00
-15.7  9  1.652362e+00
-16  9  1.518370e+00
-16.3  9  1.367619e+00
-16.7  9  1.185738e+00
-17  9  1.368772e+00
-17.3  9  1.130670e+00
-17.7  9  7.235903e-01
-18  9  5.044345e-01
-18.3  9  3.159066e-01
-18.7  9  1.440069e-01
-19  9  7.820941e-02
-19.3  9  4.559544e-02
-19.7  9  2.491520e-02
-20  9  1.326733e-02
-20.3  9  4.168026e-03
-20.7  9  6.621897e-04
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  1.350501e-03
-13.7  11  7.797183e-03
-14  11  4.092495e-02
-14.3  11  1.323649e-01
-14.7  11  3.880530e-01
-15  11  1.140659e+00
-15.3  11  1.786211e+00
-15.7  11  1.350782e+00
-16  11  1.190703e+00
-16.3  11  1.340784e+00
-16.7  11  8.760478e-01
-17  11  9.800037e-01
-17.3  11  7.314593e-01
-17.7  11  4.731926e-01
-18  11  3.167125e-01
-18.3  11  1.939028e-01
-18.7  11  9.777538e-02
-19  11  5.884505e-02
-19.3  11  3.496581e-02
-19.7  11  1.602215e-02
-20  11  4.703837e-03
-20.3  11  9.937990e-04
-2.070000e+01  1.100000e+01  0.0
-2.100000e+01  1.100000e+01  0.0
-2.130000e+01  1.100000e+01  0.0
-2.170000e+01  1.100000e+01  0.0
-2.200000e+01  1.100000e+01  0.0
-13.3  14  5.674623e-03
-13.7  14  2.033662e-02
-14  14  5.354771e-02
-14.3  14  1.748607e-01
-14.7  14  6.242019e-01
-15  14  1.030467e+00
-15.3  14  1.488340e+00
-15.7  14  8.538655e-01
-16  14  1.203259e+00
-16.3  14  1.034828e+00
-16.7  14  8.734600e-01
-17  14  5.992648e-01
-17.3  14  5.147419e-01
-17.7  14  2.624359e-01
-18  14  1.633406e-01
-18.3  14  1.083945e-01
-18.7  14  5.148153e-02
-19  14  3.433750e-02
-19.3  14  1.876013e-02
-19.7  14  4.662788e-03
-20  14  9.717234e-04
-2.030000e+01  1.400000e+01  0.0
-2.070000e+01  1.400000e+01  0.0
-2.100000e+01  1.400000e+01  0.0
-2.130000e+01  1.400000e+01  0.0
-2.170000e+01  1.400000e+01  0.0
-2.200000e+01  1.400000e+01  0.0
-13.3  17  1.053391e-02
-13.7  17  3.344665e-02
-14  17  1.256863e-01
-14.3  17  2.764838e-01
-14.7  17  4.608599e-01
-15  17  9.531657e-01
-15.3  17  1.280739e+00
-15.7  17  9.196748e-01
-16  17  8.646418e-01
-16.3  17  9.809429e-01
-16.7  17  6.265550e-01
-17  17  4.619031e-01
-17.3  17  3.174633e-01
-17.7  17  1.613807e-01
-18  17  9.877044e-02
-18.3  17  6.161934e-02
-18.7  17  3.576175e-02
-19  17  2.123241e-02
-19.3  17  6.152956e-03
-19.7  17  1.091711e-03
-2.000000e+01  1.700000e+01  0.0
-2.030000e+01  1.700000e+01  0.0
-2.070000e+01  1.700000e+01  0.0
-2.100000e+01  1.700000e+01  0.0
-2.130000e+01  1.700000e+01  0.0
-2.170000e+01  1.700000e+01  0.0
-2.200000e+01  1.700000e+01  0.0
-13.3  21  1.984427e-02
-13.7  21  4.427759e-02
-14  21  1.093769e-01
-14.3  21  2.271607e-01
-14.7  21  2.379515e-01
-15  21  8.137971e-01
-15.3  21  1.043872e+00
-15.7  21  8.004962e-01
-16  21  8.198447e-01
-16.3  21  5.681714e-01
-16.7  21  3.952597e-01
-17  21  2.765152e-01
-17.3  21  1.691125e-01
-17.7  21  8.257688e-02
-18  21  5.342136e-02
-18.3  21  4.044809e-02
-18.7  21  1.927853e-02
-19  21  5.905126e-03
-19.3  21  1.238677e-03
-1.970000e+01  2.100000e+01  0.0
-2.000000e+01  2.100000e+01  0.0
-2.030000e+01  2.100000e+01  0.0
-2.070000e+01  2.100000e+01  0.0
-2.100000e+01  2.100000e+01  0.0
-2.130000e+01  2.100000e+01  0.0
-2.170000e+01  2.100000e+01  0.0
-2.200000e+01  2.100000e+01  0.0
-13.3  26  2.110176e-02
-13.7  26  3.855421e-02
-14  26  9.290165e-02
-14.3  26  3.720746e-01
-14.7  26  4.123833e-01
-15  26  5.117344e-01
-15.3  26  8.005812e-01
-15.7  26  5.898417e-01
-16  26  5.711285e-01
-16.3  26  4.167755e-01
-16.7  26  2.561764e-01
-17  26  1.691660e-01
-17.3  26  9.501986e-02
-17.7  26  4.849997e-02
-18  26  3.763418e-02
-18.3  26  2.120652e-02
-18.7  26  5.674688e-03
-19  26  1.174815e-03
-1.930000e+01  2.600000e+01  0.0
-1.970000e+01  2.600000e+01  0.0
-2.000000e+01  2.600000e+01  0.0
-2.030000e+01  2.600000e+01  0.0
-2.070000e+01  2.600000e+01  0.0
-2.100000e+01  2.600000e+01  0.0
-2.130000e+01  2.600000e+01  0.0
-2.170000e+01  2.600000e+01  0.0
-2.200000e+01  2.600000e+01  0.0
-13.3  32  1.951680e-02
-13.7  32  1.947138e-02
-14  32  1.438526e-01
-14.3  32  1.512364e-01
-14.7  32  3.586654e-01
-15  32  3.117392e-01
-15.3  32  5.862206e-01
-15.7  32  3.669622e-01
-16  32  3.630838e-01
-16.3  32  2.829817e-01
-16.7  32  1.462940e-01
-17  32  9.682733e-02
-17.3  32  6.496708e-02
-17.7  32  3.430570e-02
-18  32  2.024500e-02
-18.3  32  6.820749e-03
-18.7  32  1.127456e-03
-1.900000e+01  3.200000e+01  0.0
-1.930000e+01  3.200000e+01  0.0
-1.970000e+01  3.200000e+01  0.0
-2.000000e+01  3.200000e+01  0.0
-2.030000e+01  3.200000e+01  0.0
-2.070000e+01  3.200000e+01  0.0
-2.100000e+01  3.200000e+01  0.0
-2.130000e+01  3.200000e+01  0.0
-2.170000e+01  3.200000e+01  0.0
-2.200000e+01  3.200000e+01  0.0
-13.3  39  9.591973e-03
-13.7  39  5.156480e-02
-14  39  1.056559e-01
-14.3  39  1.410498e-01
-14.7  39  1.892528e-01
-15  39  2.212289e-01
-15.3  39  3.454911e-01
-15.7  39  2.366421e-01
-16  39  2.100042e-01
-16.3  39  1.445946e-01
-16.7  39  7.924209e-02
-17  39  5.270333e-02
-17.3  39  3.800009e-02
-17.7  39  1.904068e-02
-18  39  6.022917e-03
-1.830000e+01  3.900000e+01  0.0
-1.870000e+01  3.900000e+01  0.0
-1.900000e+01  3.900000e+01  0.0
-1.930000e+01  3.900000e+01  0.0
-1.970000e+01  3.900000e+01  0.0
-2.000000e+01  3.900000e+01  0.0
-2.030000e+01  3.900000e+01  0.0
-2.070000e+01  3.900000e+01  0.0
-2.100000e+01  3.900000e+01  0.0
-2.130000e+01  3.900000e+01  0.0
-2.170000e+01  3.900000e+01  0.0
-2.200000e+01  3.900000e+01  0.0
-13.3  48  1.099573e-02
-13.7  48  1.612142e-02
-14  48  3.490519e-02
-14.3  48  1.696555e-01
-14.7  48  6.609795e-02
-15  48  1.704204e-01
-15.3  48  1.421961e-01
-15.7  48  1.351821e-01
-16  48  1.043867e-01
-16.3  48  7.935257e-02
-16.7  48  4.303170e-02
-17  48  3.074600e-02
-17.3  48  2.036634e-02
-17.7  48  5.842250e-03
-1.800000e+01  4.800000e+01  0.0
-1.830000e+01  4.800000e+01  0.0
-1.870000e+01  4.800000e+01  0.0
-1.900000e+01  4.800000e+01  0.0
-1.930000e+01  4.800000e+01  0.0
-1.970000e+01  4.800000e+01  0.0
-2.000000e+01  4.800000e+01  0.0
-2.030000e+01  4.800000e+01  0.0
-2.070000e+01  4.800000e+01  0.0
-2.100000e+01  4.800000e+01  0.0
-2.130000e+01  4.800000e+01  0.0
-2.170000e+01  4.800000e+01  0.0
-2.200000e+01  4.800000e+01  0.0
-13.3  58  3.535191e-03
-13.7  58  1.065088e-02
-14  58  3.252993e-02
-14.3  58  4.881562e-02
-14.7  58  3.802476e-02
-15  58  5.555685e-02
-15.3  58  8.767504e-02
-15.7  58  6.821725e-02
-16  58  5.228596e-02
-16.3  58  3.802274e-02
-16.7  58  2.380523e-02
-17  58  1.626312e-02
-17.3  58  6.594856e-03
-1.770000e+01  5.800000e+01  0.0
-1.800000e+01  5.800000e+01  0.0
-1.830000e+01  5.800000e+01  0.0
-1.870000e+01  5.800000e+01  0.0
-1.900000e+01  5.800000e+01  0.0
-1.930000e+01  5.800000e+01  0.0
-1.970000e+01  5.800000e+01  0.0
-2.000000e+01  5.800000e+01  0.0
-2.030000e+01  5.800000e+01  0.0
-2.070000e+01  5.800000e+01  0.0
-2.100000e+01  5.800000e+01  0.0
-2.130000e+01  5.800000e+01  0.0
-2.170000e+01  5.800000e+01  0.0
-2.200000e+01  5.800000e+01  0.0
-13.3  88  8.805565e-04
-13.7  88  1.158720e-03
-14  88  1.809852e-03
-14.3  88  4.448838e-03
-14.7  88  5.916400e-03
-15  88  7.204848e-03
-15.3  88  8.069472e-03
-15.7  88  5.089285e-03
-16  88  5.182804e-03
-16.3  88  4.605485e-03
-16.7  88  2.092507e-03
-17  88  5.618474e-04
-1.730000e+01  8.800000e+01  0.0
-1.770000e+01  8.800000e+01  0.0
-1.800000e+01  8.800000e+01  0.0
-1.830000e+01  8.800000e+01  0.0
-1.870000e+01  8.800000e+01  0.0
-1.900000e+01  8.800000e+01  0.0
-1.930000e+01  8.800000e+01  0.0
-1.970000e+01  8.800000e+01  0.0
-2.000000e+01  8.800000e+01  0.0
-2.030000e+01  8.800000e+01  0.0
-2.070000e+01  8.800000e+01  0.0
-2.100000e+01  8.800000e+01  0.0
-2.130000e+01  8.800000e+01  0.0
-2.170000e+01  8.800000e+01  0.0
