# log10(y)    mass[MeV]    Nhits
-13.3  5  7.231143e-35
-13.7  5  5.666507e-26
-14  5  6.579121e-19
-14.3  5  1.805469e-13
-14.7  5  2.118090e-09
-15  5  2.500365e-06
-15.3  5  4.568426e-04
-15.7  5  1.551121e-02
-16  5  5.502072e-01
-16.3  5  2.039440e+00
-16.7  5  2.882881e+00
-17  5  5.057678e+00
-17.3  5  8.222012e+00
-17.7  5  1.427111e+01
-18  5  1.892585e+01
-18.3  5  2.268460e+01
-18.7  5  2.268654e+01
-19  5  2.473647e+01
-19.3  5  2.294437e+01
-19.7  5  1.464975e+01
-20  5  1.182136e+01
-20.3  5  9.518124e+00
-20.7  5  5.581692e+00
-21  5  3.439077e+00
-21.3  5  1.329497e+00
-21.7  5  2.694996e-01
-2.200000e+01  5.000000e+00  0.0
-13.3  6  5.213069e-20
-13.7  6  6.891875e-15
-14  6  6.021028e-11
-14.3  6  1.510333e-07
-14.7  6  3.581634e-05
-15  6  1.732930e-03
-15.3  6  1.515635e-02
-15.7  6  1.600932e-01
-16  6  8.255666e-01
-16.3  6  1.885932e+00
-16.7  6  2.873907e+00
-17  6  3.457665e+00
-17.3  6  1.482055e+01
-17.7  6  1.335531e+01
-18  6  1.487616e+01
-18.3  6  1.078281e+01
-18.7  6  7.497865e+00
-19  6  5.600791e+00
-19.3  6  4.202588e+00
-19.7  6  7.464711e-01
-20  6  4.957780e-01
-20.3  6  4.169681e-01
-20.7  6  1.860330e-01
-21  6  3.219994e-02
-21.3  6  6.960507e-03
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  2.249411e-10
-13.7  8  1.209319e-07
-14  8  1.535820e-05
-14.3  8  1.022556e-03
-14.7  8  1.756649e-02
-15  8  2.329508e-02
-15.3  8  2.981250e-01
-15.7  8  7.022037e-01
-16  8  1.341626e+00
-16.3  8  2.014966e+00
-16.7  8  1.765736e+00
-17  8  5.032539e+00
-17.3  8  8.138565e+00
-17.7  8  9.137781e+00
-18  8  5.295119e+00
-18.3  8  7.774694e+00
-18.7  8  6.173832e+00
-19  8  5.677170e+00
-19.3  8  5.236216e+00
-19.7  8  3.620366e+00
-20  8  3.733188e+00
-20.3  8  2.079909e+00
-20.7  8  7.360393e-01
-21  8  2.259482e-01
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  1.248346e-08
-13.7  9  2.496298e-06
-14  9  1.338107e-04
-14.3  9  4.178029e-03
-14.7  9  1.973460e-02
-15  9  2.442136e-01
-15.3  9  1.095136e+00
-15.7  9  2.220150e+00
-16  9  3.271419e+00
-16.3  9  3.468238e+00
-16.7  9  5.083281e+00
-17  9  8.949303e+00
-17.3  9  9.413654e+00
-17.7  9  8.195042e+00
-18  9  3.618700e+00
-18.3  9  4.279788e+00
-18.7  9  4.083088e+00
-19  9  5.197236e+00
-19.3  9  5.703521e+00
-19.7  9  4.674733e+00
-20  9  3.126167e+00
-20.3  9  1.392630e+00
-20.7  9  3.969305e-01
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  2.140863e-06
-13.7  11  1.246882e-04
-14  11  3.806356e-03
-14.3  11  2.474244e-02
-14.7  11  2.073395e-01
-15  11  1.092735e+00
-15.3  11  2.470644e+00
-15.7  11  3.527337e+00
-16  11  3.558750e+00
-16.3  11  6.572326e+00
-16.7  11  6.588347e+00
-17  11  1.000171e+01
-17.3  11  9.012463e+00
-17.7  11  7.261327e+00
-18  11  5.607042e+00
-18.3  11  3.919967e+00
-18.7  11  2.359683e+00
-19  11  1.697141e+00
-19.3  11  1.088790e+00
-19.7  11  5.038261e-01
-20  11  1.320088e-01
-20.3  11  1.887711e-02
-2.070000e+01  1.100000e+01  0.0
-2.100000e+01  1.100000e+01  0.0
-2.130000e+01  1.100000e+01  0.0
-2.170000e+01  1.100000e+01  0.0
-2.200000e+01  1.100000e+01  0.0
-13.3  14  8.571929e-05
-13.7  14  1.964257e-03
-14  14  1.682930e-02
-14.3  14  1.019605e-01
-14.7  14  7.756324e-01
-15  14  2.141387e+00
-15.3  14  4.593648e+00
-15.7  14  3.114238e+00
-16  14  6.029194e+00
-16.3  14  5.507676e+00
-16.7  14  7.547250e+00
-17  14  5.753317e+00
-17.3  14  6.160491e+00
-17.7  14  3.862390e+00
-18  14  3.087183e+00
-18.3  14  2.471055e+00
-18.7  14  1.346590e+00
-19  14  3.305930e-02
-19.3  14  1.742901e-02
-19.7  14  4.064177e-03
-20  14  7.744210e-04
-2.030000e+01  1.400000e+01  0.0
-2.070000e+01  1.400000e+01  0.0
-2.100000e+01  1.400000e+01  0.0
-2.130000e+01  1.400000e+01  0.0
-2.170000e+01  1.400000e+01  0.0
-2.200000e+01  1.400000e+01  0.0
-13.3  17  4.455799e-04
