# log10(y)    mass[MeV]    Nhits
-13.3  5  5.362728e-15
-13.7  5  1.107963e-11
-14  5  7.386731e-09
-14.3  5  1.523708e-06
-14.7  5  9.230219e-05
-15  5  2.285957e-03
-15.3  5  2.510622e-02
-15.7  5  1.103633e-01
-16  5  2.988733e-01
-16.3  5  8.420421e-01
-16.7  5  1.014979e+00
-17  5  1.746440e+00
-17.3  5  1.854910e+00
-17.7  5  3.068150e+00
-18  5  3.546028e+00
-18.3  5  3.423680e+00
-18.7  5  2.615641e+00
-19  5  2.149363e+00
-19.3  5  1.587334e+00
-19.7  5  8.234245e-01
-20  5  5.555106e-01
-20.3  5  3.685790e-01
-20.7  5  1.957558e-01
-21  5  1.146535e-01
-21.3  5  4.187747e-02
-21.7  5  7.116807e-03
-2.200000e+01  5.000000e+00  0.0
-13.3  6  2.906741e-11
-13.7  6  1.318262e-08
-14  6  1.094925e-06
-14.3  6  7.128047e-05
-14.7  6  1.348385e-03
-15  6  1.208869e-02
-15.3  6  9.027023e-02
-15.7  6  2.447805e-01
-16  6  6.325591e-01
-16.3  6  1.101011e+00
-16.7  6  1.451717e+00
-17  6  1.650805e+00
-17.3  6  3.888656e+00
-17.7  6  4.185690e+00
-18  6  4.452968e+00
-18.3  6  3.742491e+00
-18.7  6  2.673339e+00
-19  6  2.084253e+00
-19.3  6  1.460419e+00
-19.7  6  7.400440e-01
-20  6  5.316597e-01
-20.3  6  4.056921e-01
-20.7  6  1.923413e-01
-21  6  6.761943e-02
-21.3  6  1.565634e-02
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  6.379900e-09
-13.7  8  5.167754e-07
-14  8  1.833500e-05
-14.3  8  5.085393e-04
-14.7  8  4.937489e-03
-15  8  4.191111e-02
-15.3  8  1.573657e-01
-15.7  8  3.572445e-01
-16  8  6.851336e-01
-16.3  8  1.077906e+00
-16.7  8  9.844199e-01
-17  8  1.985738e+00
-17.3  8  2.953352e+00
-17.7  8  3.237822e+00
-18  8  3.010168e+00
-18.3  8  2.817356e+00
-18.7  8  1.764403e+00
-19  8  1.319551e+00
-19.3  8  9.557713e-01
-19.7  8  5.325381e-01
-20  8  4.568937e-01
-20.3  8  2.824193e-01
-20.7  8  8.384959e-02
-21  8  2.016634e-02
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  2.279596e-07
-13.7  9  1.194961e-05
-14  9  2.625268e-04
-14.3  9  3.964646e-03
-14.7  9  2.120079e-02
-15  9  1.133009e-01
-15.3  9  4.093652e-01
-15.7  9  6.643613e-01
-16  9  9.776049e-01
-16.3  9  1.092673e+00
-16.7  9  1.749997e+00
-17  9  3.237351e+00
-17.3  9  3.818769e+00
-17.7  9  3.474643e+00
-18  9  3.395574e+00
-18.3  9  2.773359e+00
-18.7  9  1.618421e+00
-19  9  1.151140e+00
-19.3  9  8.209669e-01
-19.7  9  5.137188e-01
-20  9  2.947599e-01
-20.3  9  1.042864e-01
-20.7  9  1.957307e-02
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  6.768354e-06
-13.7  11  1.201179e-04
-14  11  1.475491e-03
-14.3  11  9.480645e-03
-14.7  11  5.078694e-02
-15  11  2.535599e-01
-15.3  11  6.423069e-01
-15.7  11  7.763596e-01
-16  11  8.561378e-01
-16.3  11  1.687107e+00
-16.7  11  1.756116e+00
-17  11  2.957806e+00
-17.3  11  3.132598e+00
-17.7  11  2.695727e+00
-18  11  2.504881e+00
-18.3  11  1.978929e+00
-18.7  11  1.319253e+00
-19  11  9.775575e-01
-19.3  11  6.674772e-01
-19.7  11  3.299888e-01
-20  11  1.092566e-01
-20.3  11  2.751551e-02
-2.070000e+01  1.100000e+01  0.0
-2.100000e+01  1.100000e+01  0.0
-2.130000e+01  1.100000e+01  0.0
-2.170000e+01  1.100000e+01  0.0
-2.200000e+01  1.100000e+01  0.0
-13.3  14  2.591309e-04
-13.7  14  2.252680e-03
-14  14  1.029837e-02
-14.3  14  4.885915e-02
-14.7  14  2.347241e-01
-15  14  5.143557e-01
-15.3  14  1.006986e+00
-15.7  14  6.839464e-01
-16  14  1.437397e+00
-16.3  14  1.950052e+00
-16.7  14  2.273897e+00
-17  14  2.170755e+00
-17.3  14  2.595585e+00
-17.7  14  1.832680e+00
-18  14  1.481428e+00
-18.3  14  1.321873e+00
-18.7  14  7.886596e-01
-19  14  6.149955e-01
-19.3  14  3.663880e-01
-19.7  14  1.057968e-01
-20  14  2.694982e-02
-2.030000e+01  1.400000e+01  0.0
-2.070000e+01  1.400000e+01  0.0
-2.100000e+01  1.400000e+01  0.0
-2.130000e+01  1.400000e+01  0.0
-2.170000e+01  1.400000e+01  0.0
-2.200000e+01  1.400000e+01  0.0
-13.3  17  6.964986e-04
-13.7  17  4.940517e-03
-14  17  3.428170e-02
-14.3  17  1.170010e-01
-14.7  17  2.748242e-01
-15  17  7.641096e-01
-15.3  17  1.210665e+00
-15.7  17  1.172183e+00
-16  17  1.592815e+00
-16.3  17  2.487392e+00
-16.7  17  2.114258e+00
-17  17  2.063450e+00
-17.3  17  1.842747e+00
-17.7  17  1.139535e+00
-18  17  8.556435e-01
-18.3  17  6.164149e-01
-18.7  17  3.918505e-01
-19  17  2.438393e-01
-19.3  17  7.633700e-02
-19.7  17  1.489471e-02
-2.000000e+01  1.700000e+01  0.0
-2.030000e+01  1.700000e+01  0.0
-2.070000e+01  1.700000e+01  0.0
-2.100000e+01  1.700000e+01  0.0
-2.130000e+01  1.700000e+01  0.0
-2.170000e+01  1.700000e+01  0.0
-2.200000e+01  1.700000e+01  0.0
-13.3  21  2.573095e-03
-13.7  21  1.093054e-02
-14  21  4.706859e-02
-14.3  21  1.516619e-01
-14.7  21  2.275491e-01
-15  21  9.519923e-01
-15.3  21  1.586038e+00
-15.7  21  1.655442e+00
-16  21  2.196007e+00
-16.3  21  2.020304e+00
-16.7  21  1.740786e+00
-17  21  1.579984e+00
-17.3  21  1.240907e+00
-17.7  21  7.348920e-01
-18  21  5.842646e-01
-18.3  21  4.944286e-01
-18.7  21  2.497699e-01
-19  21  8.439079e-02
-19.3  21  2.020141e-02
-1.970000e+01  2.100000e+01  0.0
-2.000000e+01  2.100000e+01  0.0
-2.030000e+01  2.100000e+01  0.0
-2.070000e+01  2.100000e+01  0.0
-2.100000e+01  2.100000e+01  0.0
-2.130000e+01  2.100000e+01  0.0
-2.170000e+01  2.100000e+01  0.0
-2.200000e+01  2.100000e+01  0.0
-13.3  26  4.716469e-03
-13.7  26  1.480429e-02
-14  26  5.857010e-02
-14.3  26  3.595676e-01
-14.7  26  5.256826e-01
-15  26  8.273900e-01
-15.3  26  1.848434e+00
-15.7  26  1.719626e+00
-16  26  2.084594e+00
-16.3  26  1.830183e+00
-16.7  26  1.339993e+00
-17  26  1.012355e+00
-17.3  26  6.581370e-01
-17.7  26  3.814206e-01
-18  26  3.154157e-01
-18.3  26  1.844326e-01
-18.7  26  5.203058e-02
-19  26  1.163523e-02
-1.930000e+01  2.600000e+01  0.0
-1.970000e+01  2.600000e+01  0.0
-2.000000e+01  2.600000e+01  0.0
-2.030000e+01  2.600000e+01  0.0
-2.070000e+01  2.600000e+01  0.0
-2.100000e+01  2.600000e+01  0.0
-2.130000e+01  2.600000e+01  0.0
-2.170000e+01  2.600000e+01  0.0
-2.200000e+01  2.600000e+01  0.0
-13.3  32  7.053241e-03
-13.7  32  1.101227e-02
-14  32  1.260928e-01
-14.3  32  1.873210e-01
-14.7  32  5.494075e-01
-15  32  7.517656e-01
-15.3  32  1.900070e+00
-15.7  32  1.462412e+00
-16  32  1.760150e+00
-16.3  32  1.651145e+00
-16.7  32  1.014074e+00
-17  32  7.860401e-01
-17.3  32  5.940189e-01
-17.7  32  3.449047e-01
-18  32  2.112372e-01
-18.3  32  7.593778e-02
-18.7  32  1.377064e-02
-1.900000e+01  3.200000e+01  0.0
-1.930000e+01  3.200000e+01  0.0
-1.970000e+01  3.200000e+01  0.0
-2.000000e+01  3.200000e+01  0.0
-2.030000e+01  3.200000e+01  0.0
-2.070000e+01  3.200000e+01  0.0
-2.100000e+01  3.200000e+01  0.0
-2.130000e+01  3.200000e+01  0.0
-2.170000e+01  3.200000e+01  0.0
-2.200000e+01  3.200000e+01  0.0
-13.3  39  7.176600e-03
-13.7  39  5.871179e-02
-14  39  1.439633e-01
-14.3  39  3.127128e-01
-14.7  39  5.850732e-01
-15  39  8.893400e-01
-15.3  39  1.756402e+00
-15.7  39  1.438573e+00
-16  39  1.495729e+00
-16.3  39  1.183955e+00
-16.7  39  7.183646e-01
-17  39  5.244673e-01
-17.3  39  3.884880e-01
-17.7  39  2.034850e-01
-18  39  6.896397e-02
-1.830000e+01  3.900000e+01  0.0
-1.870000e+01  3.900000e+01  0.0
-1.900000e+01  3.900000e+01  0.0
-1.930000e+01  3.900000e+01  0.0
-1.970000e+01  3.900000e+01  0.0
-2.000000e+01  3.900000e+01  0.0
-2.030000e+01  3.900000e+01  0.0
-2.070000e+01  3.900000e+01  0.0
-2.100000e+01  3.900000e+01  0.0
-2.130000e+01  3.900000e+01  0.0
-2.170000e+01  3.900000e+01  0.0
-2.200000e+01  3.900000e+01  0.0
-13.3  48  1.431060e-02
-13.7  48  2.531531e-02
-14  48  7.611867e-02
-14.3  48  5.545119e-01
-14.7  48  2.828322e-01
-15  48  9.321947e-01
-15.3  48  9.365690e-01
