# log10(y)    mass[MeV]    Nhits
-13.3  5  2.586940e-04
-13.7  5  1.884798e-03
-14  5  1.483918e-02
-14.3  5  8.572726e-02
-14.7  5  2.857500e-01
-15  5  7.519643e-01
-15.3  5  1.602137e+00
-15.7  5  2.123987e+00
-16  5  2.268277e+00
-16.3  5  2.928894e+00
-16.7  5  1.755297e+00
-17  5  1.732216e+00
-17.3  5  1.410645e+00
-17.7  5  1.140244e+00
-18  5  8.932824e-01
-18.3  5  6.432078e-01
-18.7  5  3.798159e-01
-19  5  2.499775e-01
-19.3  5  1.574097e-01
-19.7  5  7.117145e-02
-20  5  4.268451e-02
-20.3  5  2.517224e-02
-20.7  5  1.261697e-02
-21  5  7.176477e-03
-21.3  5  2.491688e-03
-21.7  5  3.971965e-04
-2.200000e+01  5.000000e+00  0.0
-13.3  6  1.342267e-03
-13.7  6  1.010196e-02
-14  6  3.556719e-02
-14.3  6  2.044274e-01
-14.7  6  6.203160e-01
-15  6  1.180487e+00
-15.3  6  2.296263e+00
-15.7  6  2.041742e+00
-16  6  2.203816e+00
-16.3  6  1.859222e+00
-16.7  6  1.366481e+00
-17  6  1.205963e+00
-17.3  6  1.320372e+00
-17.7  6  9.322342e-01
-18  6  7.172511e-01
-18.3  6  4.509748e-01
-18.7  6  2.494334e-01
-19  6  1.611971e-01
-19.3  6  9.579905e-02
-19.7  6  4.098044e-02
-20  6  2.612745e-02
-20.3  6  1.854702e-02
-20.7  6  8.437646e-03
-21  6  2.782880e-03
-21.3  6  5.941225e-04
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  6.031989e-03
-13.7  8  2.063576e-02
-14  8  6.798733e-02
-14.3  8  2.734395e-01
-14.7  8  5.681450e-01
-15  8  1.434730e+00
-15.3  8  1.887213e+00
-15.7  8  1.721268e+00
-16  8  1.471717e+00
-16.3  8  1.177370e+00
-16.7  8  7.963228e-01
-17  8  7.459296e-01
-17.3  8  6.429913e-01
-17.7  8  4.846742e-01
-18  8  3.198691e-01
-18.3  8  2.199254e-01
-18.7  8  1.092843e-01
-19  8  6.640167e-02
-19.3  8  3.862802e-02
-19.7  8  1.837038e-02
-20  8  1.429716e-02
-20.3  8  8.354865e-03
-20.7  8  2.257917e-03
-21  8  4.849713e-04
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  8.042069e-03
-13.7  9  3.491546e-02
-14  9  1.311930e-01
-14.3  9  4.651868e-01
-14.7  9  7.650467e-01
-15  9  1.506110e+00
-15.3  9  2.276081e+00
-15.7  9  1.671755e+00
-16  9  1.237260e+00
-16.3  9  1.021620e+00
-16.7  9  7.200521e-01
-17  9  7.516481e-01
-17.3  9  5.965744e-01
-17.7  9  3.783216e-01
-18  9  2.690306e-01
-18.3  9  1.745884e-01
-18.7  9  8.359102e-02
-19  9  4.874703e-02
-19.3  9  3.032563e-02
-19.7  9  1.740667e-02
-20  9  9.542174e-03
-20.3  9  3.147414e-03
-20.7  9  5.380674e-04
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  1.513635e-02
-13.7  11  4.527324e-02
-14  11  1.443921e-01
-14.3  11  3.144055e-01
-14.7  11  6.569530e-01
-15  11  1.448203e+00
-15.3  11  1.778491e+00
-15.7  11  1.093523e+00
-16  11  8.836793e-01
-16.3  11  8.184383e-01
-16.7  11  4.714725e-01
-17  11  4.879385e-01
-17.3  11  3.501199e-01
