# log10(y)    mass[MeV]    Nhits
-13.3  5  4.213479e-16
-13.7  5  1.573411e-12
-14  5  1.575250e-09
-14.3  5  3.957818e-07
-14.7  5  2.709468e-05
-15  5  8.113268e-04
-15.3  5  1.139266e-02
-15.7  5  6.324682e-02
-16  5  2.050778e-01
-16.3  5  6.623518e-01
-16.7  5  9.298283e-01
-17  5  1.902115e+00
-17.3  5  2.232532e+00
-17.7  5  5.032128e+00
-18  5  7.000526e+00
-18.3  5  7.817609e+00
-18.7  5  6.813131e+00
-19  5  6.294132e+00
-19.3  5  5.070643e+00
-19.7  5  2.843035e+00
-20  5  2.055925e+00
-20.3  5  1.467868e+00
-20.7  5  8.097228e-01
-21  5  4.837523e-01
-21.3  5  1.830612e-01
-21.7  5  3.260924e-02
-2.200000e+01  5.000000e+00  0.0
-13.3  6  2.817459e-13
-13.7  6  3.906588e-10
-14  6  8.379130e-08
-14.3  6  1.217268e-05
-14.7  6  4.101210e-04
-15  6  5.299059e-03
-15.3  6  4.976136e-02
-15.7  6  1.616562e-01
-16  6  4.847144e-01
-16.3  6  9.521100e-01
-16.7  6  1.399631e+00
-17  6  1.687628e+00
-17.3  6  5.049084e+00
-17.7  6  6.429103e+00
-18  6  7.867952e+00
-18.3  6  7.534731e+00
-18.7  6  6.058891e+00
-19  6  5.164885e+00
-19.3  6  3.923339e+00
-19.7  6  2.167737e+00
-20  6  1.660387e+00
-20.3  6  1.319398e+00
-20.7  6  6.407272e-01
-21  6  2.340639e-01
-21.3  6  5.705823e-02
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  1.213412e-09
-13.7  8  1.549700e-07
-14  8  8.243057e-06
-14.3  8  3.191741e-04
-14.7  8  3.926848e-03
-15  8  3.887497e-02
-15.3  8  1.592705e-01
-15.7  8  3.738323e-01
-16  8  7.287454e-01
-16.3  8  1.165656e+00
-16.7  8  1.073649e+00
-17  8  2.239195e+00
-17.3  8  3.528502e+00
-17.7  8  4.126265e+00
-18  8  4.113633e+00
-18.3  8  4.086927e+00
-18.7  8  2.649156e+00
-19  8  2.017184e+00
-19.3  8  1.462476e+00
-19.7  8  8.038492e-01
-20  8  6.790881e-01
-20.3  8  4.148547e-01
-20.7  8  1.201611e-01
-21  8  2.778831e-02
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  6.891486e-08
-13.7  9  6.172613e-06
-14  9  2.013759e-04
-14.3  9  4.125315e-03
-14.7  9  2.704914e-02
-15  9  1.624331e-01
-15.3  9  6.073267e-01
-15.7  9  9.594027e-01
-16  9  1.347242e+00
-16.3  9  1.472631e+00
-16.7  9  2.227221e+00
-17  9  4.022096e+00
-17.3  9  4.783689e+00
-17.7  9  4.512251e+00
-18  9  4.673476e+00
-18.3  9  4.044622e+00
-18.7  9  2.507176e+00
-19  9  1.913533e+00
-19.3  9  1.441228e+00
-19.7  9  9.361751e-01
-20  9  5.484969e-01
-20.3  9  2.006621e-01
-20.7  9  3.948850e-02
-2.100000e+01  9.000000e+00  0.0
-2.130000e+01  9.000000e+00  0.0
-2.170000e+01  9.000000e+00  0.0
-2.200000e+01  9.000000e+00  0.0
-13.3  11  3.512227e-06
-13.7  11  9.516402e-05
-14  11  1.592050e-03
-14.3  11  1.279195e-02
-14.7  11  8.032516e-02
-15  11  4.408870e-01
-15.3  11  1.150677e+00
-15.7  11  1.347378e+00
-16  11  1.439628e+00
-16.3  11  2.567382e+00
-16.7  11  2.440316e+00
-17  11  3.812126e+00
-17.3  11  3.837942e+00
-17.7  11  3.221439e+00
-18  11  2.976978e+00
-18.3  11  2.384569e+00
-18.7  11  1.641703e+00
-19  11  1.259024e+00
-19.3  11  8.835572e-01
-19.7  11  4.440963e-01
-20  11  1.512141e-01
-20.3  11  3.982644e-02
-2.070000e+01  1.100000e+01  0.0
-2.100000e+01  1.100000e+01  0.0
-2.130000e+01  1.100000e+01  0.0
-2.170000e+01  1.100000e+01  0.0
-2.200000e+01  1.100000e+01  0.0
-13.3  14  6.243092e-05
-13.7  14  7.451190e-04
-14  14  4.941410e-03
-14.3  14  3.477565e-02
-14.7  14  2.411301e-01
-15  14  7.062110e-01
-15.3  14  1.668450e+00
-15.7  14  1.196185e+00
-16  14  2.593464e+00
-16.3  14  3.313128e+00
-16.7  14  3.589182e+00
-17  14  3.124630e+00
-17.3  14  3.355071e+00
-17.7  14  2.100680e+00
-18  14  1.527604e+00
-18.3  14  1.199184e+00
-18.7  14  6.452693e-01
-19  14  4.679807e-01
-19.3  14  2.676196e-01
-19.7  14  7.197083e-02
-20  14  1.667085e-02
-2.030000e+01  1.400000e+01  0.0
-2.070000e+01  1.400000e+01  0.0
-2.100000e+01  1.400000e+01  0.0
-2.130000e+01  1.400000e+01  0.0
-2.170000e+01  1.400000e+01  0.0
-2.200000e+01  1.400000e+01  0.0
-13.3  17  4.773997e-04
-13.7  17  3.534718e-03
-14  17  2.708040e-02
-14.3  17  1.095267e-01
-14.7  17  3.186697e-01
-15  17  1.090222e+00
-15.3  17  1.907462e+00
-15.7  17  2.077911e+00
-16  17  2.943346e+00
-16.3  17  4.467729e+00
-16.7  17  3.602985e+00
-17  17  3.302333e+00
-17.3  17  2.774664e+00
-17.7  17  1.641544e+00
-18  17  1.180323e+00
-18.3  17  8.266372e-01
-18.7  17  5.166953e-01
-19  17  3.188049e-01
-19.3  17  9.847377e-02
-19.7  17  1.891424e-02
-2.000000e+01  1.700000e+01  0.0
-2.030000e+01  1.700000e+01  0.0
-2.070000e+01  1.700000e+01  0.0
-2.100000e+01  1.700000e+01  0.0
-2.130000e+01  1.700000e+01  0.0
-2.170000e+01  1.700000e+01  0.0
-2.200000e+01  1.700000e+01  0.0
-13.3  21  2.595275e-03
-13.7  21  1.080071e-02
-14  21  4.628911e-02
-14.3  21  1.571545e-01
-14.7  21  2.646538e-01
