# log10(y)    mass[MeV]    Nhits
-13.3  5  3.217315e-05
-13.7  5  4.521886e-04
-14  5  5.833766e-03
-14.3  5  4.840283e-02
-14.7  5  2.145470e-01
-15  5  7.522243e-01
-15.3  5  2.178316e+00
-15.7  5  3.802365e+00
-16  5  4.987850e+00
-16.3  5  7.322911e+00
-16.7  5  4.675651e+00
-17  5  4.673710e+00
-17.3  5  3.782861e+00
-17.7  5  2.892659e+00
-18  5  2.156658e+00
-18.3  5  1.493321e+00
-18.7  5  8.565440e-01
-19  5  5.549206e-01
-19.3  5  3.483101e-01
-19.7  5  1.581416e-01
-20  5  9.573765e-02
-20.3  5  5.731935e-02
-20.7  5  2.900535e-02
-21  5  1.658691e-02
-21.3  5  5.817124e-03
-21.7  5  9.402822e-04
-2.200000e+01  5.000000e+00  0.0
-13.3  6  2.471730e-04
-13.7  6  2.818758e-03
-14  6  1.474378e-02
-14.3  6  1.206133e-01
-14.7  6  4.945014e-01
-15  6  1.267217e+00
-15.3  6  3.372425e+00
-15.7  6  4.042735e+00
-16  6  5.514366e+00
-16.3  6  5.456472e+00
-16.7  6  4.354400e+00
-17  6  3.919305e+00
-17.3  6  4.280621e+00
-17.7  6  2.891149e+00
-18  6  2.109715e+00
-18.3  6  1.253134e+00
-18.7  6  6.580567e-01
-19  6  4.106994e-01
-19.3  6  2.379947e-01
-19.7  6  1.000162e-01
-20  6  6.338860e-02
-20.3  6  4.497547e-02
-20.7  6  2.047937e-02
-21  6  6.775004e-03
-21.3  6  1.456172e-03
-2.170000e+01  6.000000e+00  0.0
-2.200000e+01  6.000000e+00  0.0
-13.3  8  1.678927e-03
-13.7  8  7.525277e-03
-14  8  3.350718e-02
-14.3  8  1.872693e-01
-14.7  8  5.306396e-01
-15  8  1.757038e+00
-15.3  8  2.988045e+00
-15.7  8  3.468437e+00
-16  8  3.699347e+00
-16.3  8  3.530698e+00
-16.7  8  2.560434e+00
-17  8  2.747434e+00
-17.3  8  2.460068e+00
-17.7  8  1.837268e+00
-18  8  1.169301e+00
-18.3  8  7.605115e-01
-18.7  8  3.579851e-01
-19  8  2.058591e-01
-19.3  8  1.127386e-01
-19.7  8  5.143812e-02
-20  8  3.912123e-02
-20.3  8  2.258981e-02
-20.7  8  6.000047e-03
-21  8  1.268954e-03
-2.130000e+01  8.000000e+00  0.0
-2.170000e+01  8.000000e+00  0.0
-2.200000e+01  8.000000e+00  0.0
-13.3  9  2.211503e-03
-13.7  9  1.414780e-02
-14  9  7.716886e-02
-14.3  9  3.927016e-01
