# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.734708e-18
-1.330000e+01  6.000  1.694461e-14
-1.330000e+01  8.000  1.199178e-10
-1.330000e+01  9.000  1.521470e-08
-1.330000e+01  11.000  2.450654e-06
-1.330000e+01  14.000  1.438906e-04
-1.330000e+01  17.000  1.714529e-03
-1.330000e+01  21.000  1.458405e-02
-1.330000e+01  26.000  4.797819e-02
-1.330000e+01  32.000  1.058981e-01
-1.330000e+01  39.000  1.499306e-01
-1.330000e+01  48.000  3.260945e-01
-1.330000e+01  58.000  1.908074e-01
-1.330000e+01  88.000  2.052716e-01
-1.330000e+01  108.000  7.096172e-02
-1.330000e+01  132.000  5.187682e-02
-1.330000e+01  162.000  4.195888e-02
-1.330000e+01  199.000  1.642727e-02
-1.330000e+01  244.000  3.151790e-03
-1.330000e+01  300.000  1.184278e-03
-1.370000e+01  5.000  6.249492e-14
-1.370000e+01  6.000  1.065871e-10
-1.370000e+01  8.000  6.809003e-08
-1.370000e+01  9.000  4.167792e-06
-1.370000e+01  11.000  1.502808e-04
-1.370000e+01  14.000  3.095332e-03
-1.370000e+01  17.000  1.982649e-02
-1.370000e+01  21.000  8.329580e-02
-1.370000e+01  26.000  1.752849e-01
-1.370000e+01  32.000  1.789426e-01
-1.370000e+01  39.000  1.175395e+00
-1.370000e+01  48.000  5.651530e-01
-1.370000e+01  58.000  6.850981e-01
-1.370000e+01  88.000  3.150161e-01
-1.370000e+01  108.000  1.718363e-01
-1.370000e+01  132.000  1.112433e-01
-1.370000e+01  162.000  6.435192e-02
-1.370000e+01  199.000  2.230320e-02
-1.370000e+01  244.000  5.914824e-03
-1.370000e+01  300.000  3.832815e-03
-1.400000e+01  5.000  3.664286e-10
-1.400000e+01  6.000  7.476085e-08
-1.400000e+01  8.000  9.660134e-06
-1.400000e+01  9.000  2.980886e-04
-1.400000e+01  11.000  4.563586e-03
-1.400000e+01  14.000  2.939165e-02
-1.400000e+01  17.000  2.039246e-01
-1.400000e+01  21.000  4.379157e-01
-1.400000e+01  26.000  7.526096e-01
-1.400000e+01  32.000  2.075654e+00
-1.400000e+01  39.000  2.810516e+00
-1.400000e+01  48.000  1.612322e+00
-1.400000e+01  58.000  2.686559e+00
-1.400000e+01  88.000  5.724846e-01
-1.400000e+01  108.000  4.846600e-01
-1.400000e+01  132.000  3.062652e-01
-1.400000e+01  162.000  1.257850e-01
-1.400000e+01  199.000  2.950473e-02
-1.400000e+01  244.000  1.260884e-02
-1.400000e+01  300.000  1.186365e-02
-1.430000e+01  5.000  3.451119e-07
-1.430000e+01  6.000  2.671070e-05
-1.430000e+01  8.000  7.552490e-04
-1.430000e+01  9.000  1.095770e-02
-1.430000e+01  11.000  5.561793e-02
-1.430000e+01  14.000  2.541013e-01
-1.430000e+01  17.000  9.687951e-01
-1.430000e+01  21.000  1.662450e+00
-1.430000e+01  26.000  4.899358e+00
-1.430000e+01  32.000  3.069945e+00
-1.430000e+01  39.000  5.729984e+00
-1.430000e+01  48.000  1.079299e+01
-1.430000e+01  58.000  4.893700e+00
-1.430000e+01  88.000  1.598023e+00
-1.430000e+01  108.000  1.083309e+00
-1.430000e+01  132.000  5.021499e-01
-1.430000e+01  162.000  1.489223e-01
-1.430000e+01  199.000  6.627264e-02
-1.430000e+01  244.000  4.743086e-02
-1.430000e+01  300.000  1.654168e-02
-1.470000e+01  5.000  5.897015e-05
-1.470000e+01  6.000  1.703195e-03
-1.470000e+01  8.000  1.578807e-02
-1.470000e+01  9.000  1.108756e-01
-1.470000e+01  11.000  4.671222e-01
-1.470000e+01  14.000  1.979496e+00
-1.470000e+01  17.000  3.046734e+00
-1.470000e+01  21.000  2.920976e+00
-1.470000e+01  26.000  7.535802e+00
-1.470000e+01  32.000  9.002791e+00
-1.470000e+01  39.000  1.034565e+01
-1.470000e+01  48.000  5.197718e+00
-1.470000e+01  58.000  4.485498e+00
-1.470000e+01  88.000  2.393028e+00
-1.470000e+01  108.000  1.297917e+00
-1.470000e+01  132.000  5.190887e-01
-1.470000e+01  162.000  1.648374e-01
-1.470000e+01  199.000  1.013673e-01
-1.470000e+01  244.000  6.816371e-02
-1.470000e+01  300.000  6.690653e-03
-1.500000e+01  5.000  3.177933e-03
-1.500000e+01  6.000  3.435648e-02
-1.500000e+01  8.000  2.362698e-01
-1.500000e+01  9.000  9.488794e-01
-1.500000e+01  11.000  3.173496e+00
-1.500000e+01  14.000  6.245966e+00
-1.500000e+01  17.000  1.073258e+01
-1.500000e+01  21.000  1.352158e+01
-1.500000e+01  26.000  1.252933e+01
-1.500000e+01  32.000  1.253373e+01
-1.500000e+01  39.000  1.544667e+01
-1.500000e+01  48.000  1.634615e+01
-1.500000e+01  58.000  7.537423e+00
-1.500000e+01  88.000  3.311956e+00
-1.500000e+01  108.000  1.683515e+00
-1.500000e+01  132.000  6.877681e-01
-1.500000e+01  162.000  3.580680e-01
-1.500000e+01  199.000  2.364925e-01
-1.500000e+01  244.000  4.766236e-02
-1.500000e+01  300.000  1.748985e-03
-1.530000e+01  5.000  6.593889e-02
-1.530000e+01  6.000  4.311585e-01
-1.530000e+01  8.000  1.349834e+00
-1.530000e+01  9.000  4.766620e+00
-1.530000e+01  11.000  9.912230e+00
-1.530000e+01  14.000  1.572096e+01
-1.530000e+01  17.000  1.902290e+01
-1.530000e+01  21.000  2.558777e+01
-1.530000e+01  26.000  3.087468e+01
-1.530000e+01  32.000  3.242438e+01
-1.530000e+01  39.000  3.030255e+01
-1.530000e+01  48.000  1.610609e+01
-1.530000e+01  58.000  1.374650e+01
-1.530000e+01  88.000  4.252597e+00
-1.530000e+01  108.000  1.814462e+00
-1.530000e+01  132.000  9.017922e-01
-1.530000e+01  162.000  6.454672e-01
-1.530000e+01  199.000  1.987874e-01
-1.530000e+01  244.000  1.528357e-02
-1.530000e+01  300.000  4.053634e-04
-1.570000e+01  5.000  4.979524e-01
-1.570000e+01  6.000  1.693519e+00
-1.570000e+01  8.000  4.005628e+00
-1.570000e+01  9.000  9.519537e+00
-1.570000e+01  11.000  1.359598e+01
-1.570000e+01  14.000  1.170195e+01
-1.570000e+01  17.000  2.137555e+01
-1.570000e+01  21.000  3.019306e+01
-1.570000e+01  26.000  3.067684e+01
-1.570000e+01  32.000  2.546968e+01
-1.570000e+01  39.000  2.508816e+01
-1.570000e+01  48.000  1.810061e+01
-1.570000e+01  58.000  1.246777e+01
-1.570000e+01  88.000  3.099381e+00
-1.570000e+01  108.000  1.766168e+00
-1.570000e+01  132.000  1.068935e+00
-1.570000e+01  162.000  4.364022e-01
-1.570000e+01  199.000  5.564306e-02
-1.570000e+01  244.000  2.636973e-03
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  2.100828e+00
-1.600000e+01  6.000  5.842441e+00
-1.600000e+01  8.000  9.092516e+00
-1.600000e+01  9.000  1.575348e+01
-1.600000e+01  11.000  1.557024e+01
-1.600000e+01  14.000  2.780624e+01
-1.600000e+01  17.000  3.198660e+01
-1.600000e+01  21.000  4.252257e+01
-1.600000e+01  26.000  3.946352e+01
-1.600000e+01  32.000  3.115007e+01
-1.600000e+01  39.000  2.690442e+01
-1.600000e+01  48.000  1.663162e+01
-1.600000e+01  58.000  1.125814e+01
-1.600000e+01  88.000  3.668016e+00
-1.600000e+01  108.000  2.027133e+00
-1.600000e+01  132.000  9.489113e-01
-1.600000e+01  162.000  1.644146e-01
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
-1.600000e+01  3.000000e+02  0.0
-1.630000e+01  5.000  8.159639e+00
-1.630000e+01  6.000  1.274262e+01
-1.630000e+01  8.000  1.598177e+01
-1.630000e+01  9.000  1.830360e+01
