# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  9.464175e-19
-1.330000e+01  6.000  9.094768e-15
-1.330000e+01  8.000  6.295419e-11
-1.330000e+01  9.000  7.797897e-09
-1.330000e+01  11.000  1.216441e-06
-1.330000e+01  14.000  6.837739e-05
-1.330000e+01  17.000  7.802133e-04
-1.330000e+01  21.000  6.276984e-03
-1.330000e+01  26.000  1.953686e-02
-1.330000e+01  32.000  4.083311e-02
-1.330000e+01  39.000  5.362472e-02
-1.330000e+01  48.000  1.123845e-01
-1.330000e+01  58.000  6.438481e-02
-1.330000e+01  88.000  6.767621e-02
-1.330000e+01  108.000  2.300325e-02
-1.330000e+01  132.000  1.668559e-02
-1.330000e+01  162.000  1.343221e-02
-1.330000e+01  199.000  5.242353e-03
-1.330000e+01  244.000  1.003805e-03
-1.330000e+01  300.000  3.765405e-04
-1.370000e+01  5.000  3.339422e-14
-1.370000e+01  6.000  5.580926e-11
-1.370000e+01  8.000  3.468154e-08
-1.370000e+01  9.000  2.060054e-06
-1.370000e+01  11.000  7.140361e-05
-1.370000e+01  14.000  1.409935e-03
-1.370000e+01  17.000  8.589581e-03
-1.370000e+01  21.000  3.421346e-02
-1.370000e+01  26.000  6.826429e-02
-1.370000e+01  32.000  6.634543e-02
-1.370000e+01  39.000  4.077961e-01
-1.370000e+01  48.000  1.920788e-01
-1.370000e+01  58.000  2.276628e-01
-1.370000e+01  88.000  1.022626e-01
-1.370000e+01  108.000  5.526671e-02
-1.370000e+01  132.000  3.560682e-02
-1.370000e+01  162.000  2.054070e-02
-1.370000e+01  199.000  7.102731e-03
-1.370000e+01  244.000  1.880916e-03
-1.370000e+01  300.000  1.217518e-03
-1.400000e+01  5.000  1.908730e-10
-1.400000e+01  6.000  3.796388e-08
-1.400000e+01  8.000  4.752797e-06
-1.400000e+01  9.000  1.412196e-04
-1.400000e+01  11.000  2.075384e-03
-1.400000e+01  14.000  1.274588e-02
-1.400000e+01  17.000  8.423602e-02
-1.400000e+01  21.000  1.719053e-01
-1.400000e+01  26.000  2.813750e-01
-1.400000e+01  32.000  7.428884e-01
-1.400000e+01  39.000  9.635367e-01
-1.400000e+01  48.000  5.371044e-01
-1.400000e+01  58.000  8.766824e-01
-1.400000e+01  88.000  1.841064e-01
-1.400000e+01  108.000  1.551468e-01
-1.400000e+01  132.000  9.771132e-02
-1.400000e+01  162.000  4.005441e-02
-1.400000e+01  199.000  9.382174e-03
-1.400000e+01  244.000  4.005272e-03
-1.400000e+01  300.000  3.765679e-03
-1.430000e+01  5.000  1.743802e-07
-1.430000e+01  6.000  1.307661e-05
-1.430000e+01  8.000  3.557038e-04
-1.430000e+01  9.000  4.968489e-03
-1.430000e+01  11.000  2.416218e-02
-1.430000e+01  14.000  1.051954e-01
-1.430000e+01  17.000  3.824812e-01
-1.430000e+01  21.000  6.263313e-01
-1.430000e+01  26.000  1.765282e+00
-1.430000e+01  32.000  1.070192e+00
-1.430000e+01  39.000  1.909648e+00
-1.430000e+01  48.000  3.525315e+00
-1.430000e+01  58.000  1.579021e+00
-1.430000e+01  88.000  5.112232e-01
-1.430000e+01  108.000  3.454988e-01
-1.430000e+01  132.000  1.598432e-01
-1.430000e+01  162.000  4.734214e-02
-1.430000e+01  199.000  2.104759e-02
-1.430000e+01  244.000  1.505119e-02
-1.430000e+01  300.000  5.246764e-03
-1.470000e+01  5.000  2.875286e-05
-1.470000e+01  6.000  7.990053e-04
-1.470000e+01  8.000  7.117614e-03
-1.470000e+01  9.000  4.803489e-02
-1.470000e+01  11.000  1.935684e-01
-1.470000e+01  14.000  7.829523e-01
-1.470000e+01  17.000  1.152313e+00
-1.470000e+01  21.000  1.058587e+00
-1.470000e+01  26.000  2.648293e+00
-1.470000e+01  32.000  3.090331e+00
-1.470000e+01  39.000  3.389413e+00
-1.470000e+01  48.000  1.679387e+00
-1.470000e+01  58.000  1.436677e+00
-1.470000e+01  88.000  7.628304e-01
-1.470000e+01  108.000  4.128929e-01
-1.470000e+01  132.000  1.649244e-01
-1.470000e+01  162.000  5.232711e-02
-1.470000e+01  199.000  3.215521e-02
-1.470000e+01  244.000  2.161702e-02
-1.470000e+01  300.000  2.121972e-03
-1.500000e+01  5.000  1.483563e-03
-1.500000e+01  6.000  1.545182e-02
-1.500000e+01  8.000  1.018932e-01
-1.500000e+01  9.000  3.924418e-01
-1.500000e+01  11.000  1.256229e+00
-1.500000e+01  14.000  2.365766e+00
-1.500000e+01  17.000  3.901796e+00
-1.500000e+01  21.000  4.788672e+00
-1.500000e+01  26.000  4.311610e+00
-1.500000e+01  32.000  4.173589e+00
-1.500000e+01  39.000  4.999417e+00
-1.500000e+01  48.000  5.237951e+00
-1.500000e+01  58.000  2.402450e+00
-1.500000e+01  88.000  1.052764e+00
-1.500000e+01  108.000  5.344525e-01
-1.500000e+01  132.000  2.181731e-01
-1.500000e+01  162.000  1.135153e-01
-1.500000e+01  199.000  7.497473e-02
-1.500000e+01  244.000  1.511362e-02
-1.500000e+01  300.000  5.545982e-04
