# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  4.857183e-19
-1.330000e+01  6.000  4.744490e-15
-1.330000e+01  8.000  3.357699e-11
-1.330000e+01  9.000  4.260117e-09
-1.330000e+01  11.000  6.861832e-07
-1.330000e+01  14.000  4.028935e-05
-1.330000e+01  17.000  4.800681e-04
-1.330000e+01  21.000  4.083534e-03
-1.330000e+01  26.000  1.343389e-02
-1.330000e+01  32.000  2.965148e-02
-1.330000e+01  39.000  4.198058e-02
-1.330000e+01  48.000  9.130646e-02
-1.330000e+01  58.000  5.342607e-02
-1.330000e+01  88.000  5.747605e-02
-1.330000e+01  108.000  1.986928e-02
-1.330000e+01  132.000  1.452551e-02
-1.330000e+01  162.000  1.174849e-02
-1.330000e+01  199.000  4.599637e-03
-1.330000e+01  244.000  8.825013e-04
-1.330000e+01  300.000  3.315979e-04
-1.370000e+01  5.000  1.749858e-14
-1.370000e+01  6.000  2.984440e-11
-1.370000e+01  8.000  1.906521e-08
-1.370000e+01  9.000  1.166982e-06
-1.370000e+01  11.000  4.207863e-05
-1.370000e+01  14.000  8.666930e-04
-1.370000e+01  17.000  5.551417e-03
-1.370000e+01  21.000  2.332282e-02
-1.370000e+01  26.000  4.907978e-02
-1.370000e+01  32.000  5.010394e-02
-1.370000e+01  39.000  3.291106e-01
-1.370000e+01  48.000  1.582428e-01
-1.370000e+01  58.000  1.918275e-01
-1.370000e+01  88.000  8.820452e-02
-1.370000e+01  108.000  4.811416e-02
-1.370000e+01  132.000  3.114811e-02
-1.370000e+01  162.000  1.801854e-02
-1.370000e+01  199.000  6.244896e-03
-1.370000e+01  244.000  1.656151e-03
-1.370000e+01  300.000  1.073188e-03
-1.400000e+01  5.000  1.026000e-10
-1.400000e+01  6.000  2.093304e-08
-1.400000e+01  8.000  2.704838e-06
-1.400000e+01  9.000  8.346481e-05
-1.400000e+01  11.000  1.277804e-03
-1.400000e+01  14.000  8.229661e-03
-1.400000e+01  17.000  5.709889e-02
-1.400000e+01  21.000  1.226164e-01
-1.400000e+01  26.000  2.107307e-01
-1.400000e+01  32.000  5.811832e-01
-1.400000e+01  39.000  7.869445e-01
-1.400000e+01  48.000  4.514500e-01
-1.400000e+01  58.000  7.522366e-01
-1.400000e+01  88.000  1.602957e-01
-1.400000e+01  108.000  1.357048e-01
-1.400000e+01  132.000  8.575425e-02
-1.400000e+01  162.000  3.521980e-02
-1.400000e+01  199.000  8.261324e-03
-1.400000e+01  244.000  3.530475e-03
-1.400000e+01  300.000  3.321822e-03
-1.430000e+01  5.000  9.663133e-08
-1.430000e+01  6.000  7.478996e-06
-1.430000e+01  8.000  2.114697e-04
-1.430000e+01  9.000  3.068156e-03
-1.430000e+01  11.000  1.557302e-02
-1.430000e+01  14.000  7.114837e-02
-1.430000e+01  17.000  2.712626e-01
-1.430000e+01  21.000  4.654859e-01
-1.430000e+01  26.000  1.371820e+00
-1.430000e+01  32.000  8.595845e-01
-1.430000e+01  39.000  1.604396e+00
-1.430000e+01  48.000  3.022037e+00
-1.430000e+01  58.000  1.370236e+00
-1.430000e+01  88.000  4.474465e-01
-1.430000e+01  108.000  3.033266e-01
-1.430000e+01  132.000  1.406020e-01
-1.430000e+01  162.000  4.169823e-02
-1.430000e+01  199.000  1.855634e-02
-1.430000e+01  244.000  1.328064e-02
-1.430000e+01  300.000  4.631670e-03
-1.470000e+01  5.000  1.651164e-05
-1.470000e+01  6.000  4.768946e-04
-1.470000e+01  8.000  4.420658e-03
-1.470000e+01  9.000  3.104518e-02
-1.470000e+01  11.000  1.307942e-01
-1.470000e+01  14.000  5.542588e-01
-1.470000e+01  17.000  8.530855e-01
-1.470000e+01  21.000  8.178732e-01
-1.470000e+01  26.000  2.110025e+00
-1.470000e+01  32.000  2.520782e+00
-1.470000e+01  39.000  2.896782e+00
-1.470000e+01  48.000  1.455361e+00
-1.470000e+01  58.000  1.255939e+00
-1.470000e+01  88.000  6.700478e-01
-1.470000e+01  108.000  3.634168e-01
-1.470000e+01  132.000  1.453448e-01
-1.470000e+01  162.000  4.615446e-02
-1.470000e+01  199.000  2.838285e-02
-1.470000e+01  244.000  1.908584e-02
-1.470000e+01  300.000  1.873383e-03
-1.500000e+01  5.000  8.898211e-04
-1.500000e+01  6.000  9.619814e-03
-1.500000e+01  8.000  6.615554e-02
-1.500000e+01  9.000  2.656862e-01
-1.500000e+01  11.000  8.885789e-01
-1.500000e+01  14.000  1.748871e+00
-1.500000e+01  17.000  3.005121e+00
-1.500000e+01  21.000  3.786043e+00
-1.500000e+01  26.000  3.508212e+00
-1.500000e+01  32.000  3.509444e+00
-1.500000e+01  39.000  4.325067e+00
-1.500000e+01  48.000  4.576921e+00
-1.500000e+01  58.000  2.110479e+00
-1.500000e+01  88.000  9.273477e-01
-1.500000e+01  108.000  4.713842e-01
-1.500000e+01  132.000  1.925751e-01
-1.500000e+01  162.000  1.002591e-01
-1.500000e+01  199.000  6.621791e-02
-1.500000e+01  244.000  1.334546e-02
-1.500000e+01  300.000  4.897159e-04
-1.530000e+01  5.000  1.846289e-02
-1.530000e+01  6.000  1.207244e-01
-1.530000e+01  8.000  3.779535e-01
-1.530000e+01  9.000  1.334654e+00
-1.530000e+01  11.000  2.775424e+00
-1.530000e+01  14.000  4.401868e+00
-1.530000e+01  17.000  5.326412e+00
-1.530000e+01  21.000  7.164577e+00
-1.530000e+01  26.000  8.644911e+00
-1.530000e+01  32.000  9.078827e+00
-1.530000e+01  39.000  8.484714e+00
-1.530000e+01  48.000  4.509705e+00
-1.530000e+01  58.000  3.849020e+00
-1.530000e+01  88.000  1.190727e+00
-1.530000e+01  108.000  5.080494e-01
-1.530000e+01  132.000  2.525018e-01
-1.530000e+01  162.000  1.807308e-01
-1.530000e+01  199.000  5.566047e-02
-1.530000e+01  244.000  4.279399e-03
-1.530000e+01  300.000  1.135017e-04
-1.570000e+01  5.000  1.394267e-01
-1.570000e+01  6.000  4.741852e-01
-1.570000e+01  8.000  1.121576e+00
-1.570000e+01  9.000  2.665470e+00
-1.570000e+01  11.000  3.806875e+00
-1.570000e+01  14.000  3.276545e+00
-1.570000e+01  17.000  5.985155e+00
-1.570000e+01  21.000  8.454056e+00
-1.570000e+01  26.000  8.589515e+00
-1.570000e+01  32.000  7.131509e+00
-1.570000e+01  39.000  7.024685e+00
-1.570000e+01  48.000  5.068172e+00
-1.570000e+01  58.000  3.490974e+00
-1.570000e+01  88.000  8.678266e-01
-1.570000e+01  108.000  4.945272e-01
-1.570000e+01  132.000  2.993018e-01
-1.570000e+01  162.000  1.221926e-01
-1.570000e+01  199.000  1.558006e-02
-1.570000e+01  244.000  7.383526e-04
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  5.882319e-01
-1.600000e+01  6.000  1.635883e+00
-1.600000e+01  8.000  2.545904e+00
-1.600000e+01  9.000  4.410974e+00
-1.600000e+01  11.000  4.359667e+00
-1.600000e+01  14.000  7.785747e+00
-1.600000e+01  17.000  8.956248e+00
-1.600000e+01  21.000  1.190632e+01
-1.600000e+01  26.000  1.104979e+01
-1.600000e+01  32.000  8.722020e+00
-1.600000e+01  39.000  7.533237e+00
-1.600000e+01  48.000  4.656854e+00
-1.600000e+01  58.000  3.152279e+00
-1.600000e+01  88.000  1.027045e+00
-1.600000e+01  108.000  5.675973e-01
-1.600000e+01  132.000  2.656952e-01
-1.600000e+01  162.000  4.603609e-02
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
-1.600000e+01  3.000000e+02  0.0
-1.630000e+01  5.000  2.284699e+00
-1.630000e+01  6.000  3.567935e+00
-1.630000e+01  8.000  4.474894e+00
-1.630000e+01  9.000  5.125009e+00
-1.630000e+01  11.000  9.033384e+00
-1.630000e+01  14.000  1.100608e+01
-1.630000e+01  17.000  1.433106e+01
-1.630000e+01  21.000  1.116565e+01
-1.630000e+01  26.000  1.013031e+01
-1.630000e+01  32.000  8.376631e+00
-1.630000e+01  39.000  6.308482e+00
-1.630000e+01  48.000  4.249369e+00
-1.630000e+01  58.000  2.726788e+00
-1.630000e+01  88.000  9.595127e-01
