# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.196679e-05
-1.330000e+01  6.000  2.948113e-04
-1.330000e+01  8.000  7.326800e-03
-1.330000e+01  9.000  1.994660e-02
-1.330000e+01  11.000  9.062344e-02
-1.330000e+01  14.000  2.720867e-01
-1.330000e+01  17.000  3.593441e-01
-1.330000e+01  21.000  5.578797e-01
-1.330000e+01  26.000  5.259871e-01
-1.330000e+01  32.000  4.606087e-01
-1.330000e+01  39.000  2.335099e-01
-1.330000e+01  48.000  3.184620e-01
-1.330000e+01  58.000  1.422602e-01
-1.330000e+01  88.000  1.101438e-01
-1.330000e+01  108.000  2.721769e-02
-1.330000e+01  132.000  1.635609e-02
-1.330000e+01  162.000  1.139871e-02
-1.330000e+01  199.000  3.937594e-03
-1.330000e+01  244.000  6.872543e-04
-1.330000e+01  300.000  2.353174e-04
-1.370000e+01  5.000  4.535181e-04
-1.370000e+01  6.000  7.078524e-03
-1.370000e+01  8.000  5.256329e-02
-1.370000e+01  9.000  1.497754e-01
-1.370000e+01  11.000  3.810215e-01
-1.370000e+01  14.000  8.000506e-01
-1.370000e+01  17.000  1.013888e+00
-1.370000e+01  21.000  1.151747e+00
-1.370000e+01  26.000  9.118962e-01
-1.370000e+01  32.000  4.465119e-01
-1.370000e+01  39.000  1.234624e+00
-1.370000e+01  48.000  4.577463e-01
-1.370000e+01  58.000  4.005830e-01
-1.370000e+01  88.000  1.244193e-01
-1.370000e+01  108.000  5.399292e-02
-1.370000e+01  132.000  3.007488e-02
-1.370000e+01  162.000  1.561137e-02
-1.370000e+01  199.000  4.861132e-03
-1.370000e+01  244.000  1.190159e-03
-1.370000e+01  300.000  7.200325e-04
-1.400000e+01  5.000  1.277939e-02
-1.400000e+01  6.000  6.145552e-02
-1.400000e+01  8.000  2.832015e-01
-1.400000e+01  9.000  8.101883e-01
-1.400000e+01  11.000  1.543138e+00
-1.400000e+01  14.000  1.752093e+00
-1.400000e+01  17.000  3.448680e+00
-1.400000e+01  21.000  2.710719e+00
-1.400000e+01  26.000  2.139470e+00
-1.400000e+01  32.000  3.253427e+00
-1.400000e+01  39.000  2.519390e+00
-1.400000e+01  48.000  9.539138e-01
-1.400000e+01  58.000  1.118486e+00
-1.400000e+01  88.000  1.774502e-01
-1.400000e+01  108.000  1.312259e-01
-1.400000e+01  132.000  7.306880e-02
-1.400000e+01  162.000  2.743398e-02
-1.400000e+01  199.000  5.953774e-03
-1.400000e+01  244.000  2.379653e-03
-1.400000e+01  300.000  2.116631e-03
-1.430000e+01  5.000  1.951744e-01
-1.430000e+01  6.000  7.250423e-01
-1.430000e+01  8.000  1.677882e+00
-1.430000e+01  9.000  3.899642e+00
-1.430000e+01  11.000  4.088127e+00
-1.430000e+01  14.000  4.932674e+00
-1.430000e+01  17.000  7.022385e+00
-1.430000e+01  21.000  5.445816e+00
-1.430000e+01  26.000  8.448218e+00
-1.430000e+01  32.000  3.405640e+00
-1.430000e+01  39.000  3.309439e+00
-1.430000e+01  48.000  4.448686e+00
-1.430000e+01  58.000  1.579754e+00
-1.430000e+01  88.000  4.202306e-01
-1.430000e+01  108.000  2.552013e-01
-1.430000e+01  132.000  1.082226e-01
-1.430000e+01  162.000  2.978645e-02
-1.430000e+01  199.000  1.243226e-02
-1.430000e+01  244.000  8.356671e-03
-1.430000e+01  300.000  2.795281e-03
-1.470000e+01  5.000  1.347736e+00
-1.470000e+01  6.000  3.813249e+00
-1.470000e+01  8.000  4.887443e+00
-1.470000e+01  9.000  8.470006e+00
-1.470000e+01  11.000  1.036703e+01
-1.470000e+01  14.000  1.580474e+01
-1.470000e+01  17.000  1.103078e+01
-1.470000e+01  21.000  5.549745e+00
-1.470000e+01  26.000  9.305791e+00
-1.470000e+01  32.000  8.061255e+00
-1.470000e+01  39.000  4.383546e+00
-1.470000e+01  48.000  1.685299e+00
-1.470000e+01  58.000  1.179535e+00
-1.470000e+01  88.000  5.514265e-01
-1.470000e+01  108.000  2.730580e-01
-1.470000e+01  132.000  1.015435e-01
-1.470000e+01  162.000  3.034699e-02
-1.470000e+01  199.000  1.757145e-02
-1.470000e+01  244.000  1.146568e-02
-1.470000e+01  300.000  1.121288e-03
-1.500000e+01  5.000  6.029663e+00
-1.500000e+01  6.000  1.130218e+01
-1.500000e+01  8.000  1.675561e+01
-1.500000e+01  9.000  2.188019e+01
-1.500000e+01  11.000  2.779687e+01
-1.500000e+01  14.000  2.428962e+01
-1.500000e+01  17.000  2.187092e+01
-1.500000e+01  21.000  1.871523e+01
-1.500000e+01  26.000  1.148295e+01
-1.500000e+01  32.000  6.961679e+00
-1.500000e+01  39.000  5.053637e+00
-1.500000e+01  48.000  4.244387e+00
-1.500000e+01  58.000  1.682006e+00
-1.500000e+01  88.000  6.731297e-01
-1.500000e+01  108.000  3.179841e-01
-1.500000e+01  132.000  1.225336e-01
-1.500000e+01  162.000  6.020553e-02
-1.500000e+01  199.000  3.920086e-02
-1.500000e+01  244.000  7.934818e-03
-1.500000e+01  300.000  2.883965e-04
-1.530000e+01  5.000  1.889128e+01
-1.530000e+01  6.000  3.159560e+01
-1.530000e+01  8.000  2.958027e+01
-1.530000e+01  9.000  4.289393e+01
-1.530000e+01  11.000  4.138112e+01
-1.530000e+01  14.000  3.364091e+01
-1.530000e+01  17.000  2.891471e+01
-1.530000e+01  21.000  2.361995e+01
-1.530000e+01  26.000  1.780027e+01
-1.530000e+01  32.000  1.300135e+01
-1.530000e+01  39.000  7.788661e+00
-1.530000e+01  48.000  3.497952e+00
-1.530000e+01  58.000  2.627900e+00
-1.530000e+01  88.000  7.666664e-01
-1.530000e+01  108.000  3.087287e-01
-1.530000e+01  132.000  1.448459e-01
-1.530000e+01  162.000  1.041485e-01
-1.530000e+01  199.000  3.251959e-02
-1.530000e+01  244.000  2.493767e-03
-1.530000e+01  300.000  6.490905e-05
-1.570000e+01  5.000  3.354222e+01
-1.570000e+01  6.000  3.789798e+01
-1.570000e+01  8.000  3.518488e+01
-1.570000e+01  9.000  4.005539e+01
-1.570000e+01  11.000  3.061880e+01
-1.570000e+01  14.000  1.907691e+01
-1.570000e+01  17.000  2.039621e+01
