# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.622708e-07
-1.330000e+01  6.000  4.489635e-06
-1.330000e+01  8.000  1.338026e-04
-1.330000e+01  9.000  4.350811e-04
-1.330000e+01  11.000  2.535386e-03
-1.330000e+01  14.000  1.014594e-02
-1.330000e+01  17.000  1.719322e-02
-1.330000e+01  21.000  3.244043e-02
-1.330000e+01  26.000  3.452261e-02
-1.330000e+01  32.000  3.218165e-02
-1.330000e+01  39.000  1.695148e-02
-1.330000e+01  48.000  2.326797e-02
-1.330000e+01  58.000  1.040525e-02
-1.330000e+01  88.000  8.060121e-03
-1.330000e+01  108.000  2.000069e-03
-1.330000e+01  132.000  1.203227e-03
-1.330000e+01  162.000  8.395615e-04
-1.330000e+01  199.000  2.903364e-04
-1.330000e+01  244.000  5.071418e-05
-1.330000e+01  300.000  1.737771e-05
-1.370000e+01  5.000  6.959403e-06
-1.370000e+01  6.000  1.254635e-04
-1.370000e+01  8.000  1.162697e-03
-1.370000e+01  9.000  4.091682e-03
-1.370000e+01  11.000  1.340769e-02
-1.370000e+01  14.000  3.674012e-02
-1.370000e+01  17.000  5.652156e-02
-1.370000e+01  21.000  7.378452e-02
-1.370000e+01  26.000  6.308035e-02
-1.370000e+01  32.000  3.202095e-02
-1.370000e+01  39.000  9.041575e-02
-1.370000e+01  48.000  3.353699e-02
-1.370000e+01  58.000  2.943339e-02
-1.370000e+01  88.000  9.156085e-03
-1.370000e+01  108.000  3.976034e-03
-1.370000e+01  132.000  2.216584e-03
-1.370000e+01  162.000  1.151358e-03
-1.370000e+01  199.000  3.588000e-04
-1.370000e+01  244.000  8.789392e-05
-1.370000e+01  300.000  5.319941e-05
-1.400000e+01  5.000  2.287069e-04
-1.400000e+01  6.000  1.316158e-03
-1.400000e+01  8.000  7.748069e-03
-1.400000e+01  9.000  2.764584e-02
-1.400000e+01  11.000  6.707414e-02
-1.400000e+01  14.000  9.472993e-02
-1.400000e+01  17.000  2.151598e-01
-1.400000e+01  21.000  1.850181e-01
-1.400000e+01  26.000  1.528247e-01
-1.400000e+01  32.000  2.368607e-01
-1.400000e+01  39.000  1.849611e-01
-1.400000e+01  48.000  7.033138e-02
-1.400000e+01  58.000  8.264122e-02
-1.400000e+01  88.000  1.308987e-02
-1.400000e+01  108.000  9.680680e-03
-1.400000e+01  132.000  5.393144e-03
-1.400000e+01  162.000  2.025667e-03
-1.400000e+01  199.000  4.397880e-04
-1.400000e+01  244.000  1.758413e-04
-1.400000e+01  300.000  1.564541e-04
-1.430000e+01  5.000  4.207768e-03
-1.430000e+01  6.000  1.939106e-02
-1.430000e+01  8.000  5.765735e-02
-1.430000e+01  9.000  1.651388e-01
-1.430000e+01  11.000  2.117004e-01
-1.430000e+01  14.000  3.006211e-01
-1.430000e+01  17.000  4.714754e-01
-1.430000e+01  21.000  3.862161e-01
-1.430000e+01  26.000  6.148980e-01
-1.430000e+01  32.000  2.499866e-01
-1.430000e+01  39.000  2.452027e-01
-1.430000e+01  48.000  3.297338e-01
-1.430000e+01  58.000  1.171021e-01
-1.430000e+01  88.000  3.105770e-02
-1.430000e+01  108.000  1.885636e-02
-1.430000e+01  132.000  7.996843e-03
-1.430000e+01  162.000  2.201330e-03
-1.430000e+01  199.000  9.189604e-04
-1.430000e+01  244.000  6.178642e-04
-1.430000e+01  300.000  2.067057e-04
-1.470000e+01  5.000  3.605224e-02
-1.470000e+01  6.000  1.275808e-01
-1.470000e+01  8.000  2.080645e-01
-1.470000e+01  9.000  4.297331e-01
-1.470000e+01  11.000  6.143448e-01
-1.470000e+01  14.000  1.046090e+00
-1.470000e+01  17.000  7.762579e-01
-1.470000e+01  21.000  4.031312e-01
-1.470000e+01  26.000  6.836095e-01
-1.470000e+01  32.000  5.943942e-01
-1.470000e+01  39.000  3.263110e-01
-1.470000e+01  48.000  1.253313e-01
-1.470000e+01  58.000  8.762052e-02
-1.470000e+01  88.000  4.081248e-02
-1.470000e+01  108.000  2.020093e-02
-1.470000e+01  132.000  7.510920e-03
