# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  3.519131e-13
-1.330000e+01  6.000  2.392666e-10
-1.330000e+01  8.000  1.414580e-07
-1.330000e+01  9.000  3.027983e-06
-1.330000e+01  11.000  9.399414e-05
-1.330000e+01  14.000  1.357302e-03
-1.330000e+01  17.000  5.467976e-03
-1.330000e+01  21.000  1.953086e-02
-1.330000e+01  26.000  3.348701e-02
-1.330000e+01  32.000  4.570000e-02
-1.330000e+01  39.000  3.926656e-02
-1.330000e+01  48.000  6.979976e-02
-1.330000e+01  58.000  3.678074e-02
-1.330000e+01  88.000  3.555229e-02
-1.330000e+01  108.000  1.147040e-02
-1.330000e+01  132.000  8.225592e-03
-1.330000e+01  162.000  6.667208e-03
-1.330000e+01  199.000  2.639074e-03
-1.330000e+01  244.000  5.132105e-04
-1.330000e+01  300.000  1.960869e-04
-1.370000e+01  5.000  5.283356e-10
-1.370000e+01  6.000  1.104500e-07
-1.370000e+01  8.000  9.847308e-06
-1.370000e+01  9.000  1.441641e-04
-1.370000e+01  11.000  1.514205e-03
-1.370000e+01  14.000  1.052617e-02
-1.370000e+01  17.000  3.008845e-02
-1.370000e+01  21.000  6.487576e-02
-1.370000e+01  26.000  8.268031e-02
-1.370000e+01  32.000  5.853864e-02
-1.370000e+01  39.000  2.601888e-01
-1.370000e+01  48.000  1.126614e-01
-1.370000e+01  58.000  1.223024e-01
-1.370000e+01  88.000  5.098006e-02
-1.370000e+01  108.000  2.711359e-02
-1.370000e+01  132.000  1.756824e-02
-1.370000e+01  162.000  1.027224e-02
-1.370000e+01  199.000  3.615964e-03
-1.370000e+01  244.000  9.739956e-04
-1.370000e+01  300.000  6.411862e-04
-1.400000e+01  5.000  2.599337e-07
-1.400000e+01  6.000  9.832948e-06
-1.400000e+01  8.000  2.889317e-04
-1.400000e+01  9.000  2.912002e-03
-1.400000e+01  11.000  1.674393e-02
-1.400000e+01  14.000  4.680126e-02
-1.400000e+01  17.000  1.731289e-01
-1.400000e+01  21.000  2.240762e-01
-1.400000e+01  26.000  2.620463e-01
-1.400000e+01  32.000  5.467329e-01
-1.400000e+01  39.000  5.845490e-01
-1.400000e+01  48.000  2.901950e-01
-1.400000e+01  58.000  4.401355e-01
-1.400000e+01  88.000  8.976719e-02
-1.400000e+01  108.000  7.597824e-02
-1.400000e+01  132.000  4.856068e-02
-1.400000e+01  162.000  2.025842e-02
-1.400000e+01  199.000  4.831704e-03
-1.400000e+01  244.000  2.099163e-03
-1.400000e+01  300.000  2.006165e-03
-1.430000e+01  5.000  3.598773e-05
-1.430000e+01  6.000  7.031238e-04
-1.430000e+01  8.000  6.463209e-03
-1.430000e+01  9.000  3.935003e-02
-1.430000e+01  11.000  9.449421e-02
-1.430000e+01  14.000  2.266663e-01
-1.430000e+01  17.000  5.306454e-01
-1.430000e+01  21.000  6.176034e-01
-1.430000e+01  26.000  1.348533e+00
-1.430000e+01  32.000  6.973167e-01
-1.430000e+01  39.000  1.029739e+00
-1.430000e+01  48.000  1.769082e+00
-1.430000e+01  58.000  7.672536e-01
-1.430000e+01  88.000  2.483695e-01
-1.430000e+01  108.000  1.702338e-01
-1.430000e+01  132.000  8.023939e-02
-1.430000e+01  162.000  2.423552e-02
-1.430000e+01  199.000  1.098034e-02
-1.430000e+01  244.000  8.006306e-03
-1.430000e+01  300.000  2.833089e-03
-1.470000e+01  5.000  1.374737e-03
-1.470000e+01  6.000  1.370621e-02
-1.470000e+01  8.000  5.168228e-02
-1.470000e+01  9.000  1.858010e-01
-1.470000e+01  11.000  4.332804e-01
-1.470000e+01  14.000  1.122181e+00
-1.470000e+01  17.000  1.179245e+00
-1.470000e+01  21.000  8.389526e-01
-1.470000e+01  26.000  1.793535e+00
-1.470000e+01  32.000  1.881624e+00
-1.470000e+01  39.000  1.713240e+00
-1.470000e+01  48.000  8.154365e-01
-1.470000e+01  58.000  6.882394e-01
-1.470000e+01  88.000  3.722547e-01
-1.470000e+01  108.000  2.055065e-01
-1.470000e+01  132.000  8.385639e-02
-1.470000e+01  162.000  2.716425e-02
-1.470000e+01  199.000  1.705188e-02
-1.470000e+01  244.000  1.162888e-02
-1.470000e+01  300.000  1.148742e-03
-1.500000e+01  5.000  2.298598e-02
-1.500000e+01  6.000  1.106695e-01
-1.500000e+01  8.000  3.753012e-01
-1.500000e+01  9.000  8.772853e-01
-1.500000e+01  11.000  1.848476e+00
-1.500000e+01  14.000  2.481710e+00
-1.500000e+01  17.000  3.170438e+00
-1.500000e+01  21.000  3.378156e+00
-1.500000e+01  26.000  2.653319e+00
-1.500000e+01  32.000  2.237771e+00
-1.500000e+01  39.000  2.431445e+00
-1.500000e+01  48.000  2.499273e+00
-1.500000e+01  58.000  1.150150e+00
-1.500000e+01  88.000  5.189177e-01
-1.500000e+01  108.000  2.696557e-01
-1.500000e+01  132.000  1.126261e-01
-1.500000e+01  162.000  6.000570e-02
-1.500000e+01  199.000  4.018335e-02
-1.500000e+01  244.000  8.157359e-03
-1.500000e+01  300.000  3.017292e-04
-1.530000e+01  5.000  1.950548e-01
-1.530000e+01  6.000  6.746731e-01
-1.530000e+01  8.000  1.203577e+00
-1.530000e+01  9.000  2.773439e+00
-1.530000e+01  11.000  4.024716e+00
-1.530000e+01  14.000  4.725462e+00
-1.530000e+01  17.000  4.938170e+00
-1.530000e+01  21.000  5.447751e+00
-1.530000e+01  26.000  5.596605e+00
-1.530000e+01  32.000  5.321631e+00
-1.530000e+01  39.000  4.625487e+00
-1.530000e+01  48.000  2.443154e+00
-1.530000e+01  58.000  2.106530e+00
-1.530000e+01  88.000  6.744835e-01
-1.530000e+01  108.000  2.949720e-01
-1.530000e+01  132.000  1.504524e-01
-1.530000e+01  162.000  1.091657e-01
-1.530000e+01  199.000  3.391940e-02
-1.530000e+01  244.000  2.631696e-03
-1.530000e+01  300.000  7.053856e-05
-1.570000e+01  5.000  7.389888e-01
-1.570000e+01  6.000  1.495461e+00
-1.570000e+01  8.000  2.287514e+00
-1.570000e+01  9.000  3.848940e+00
-1.570000e+01  11.000  4.155509e+00
-1.570000e+01  14.000  3.121443e+00
-1.570000e+01  17.000  4.610622e+00
-1.570000e+01  21.000  5.532857e+00
-1.570000e+01  26.000  5.119699e+00
-1.570000e+01  32.000  3.996140e+00
-1.570000e+01  39.000  3.789614e+00
-1.570000e+01  48.000  2.754983e+00
-1.570000e+01  58.000  1.934075e+00
-1.570000e+01  88.000  4.996377e-01
-1.570000e+01  108.000  2.922176e-01
-1.570000e+01  132.000  1.797759e-01
-1.570000e+01  162.000  7.418021e-02
-1.570000e+01  199.000  9.568943e-03
-1.570000e+01  244.000  4.590820e-04
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  1.806647e+00
-1.600000e+01  6.000  3.314789e+00
-1.600000e+01  8.000  3.650601e+00
-1.600000e+01  9.000  4.841040e+00
-1.600000e+01  11.000  4.241708e+00
-1.600000e+01  14.000  6.003215e+00
-1.600000e+01  17.000  5.883147e+00
-1.600000e+01  21.000  7.128222e+00
-1.600000e+01  26.000  6.202226e+00
-1.600000e+01  32.000  4.752321e+00
-1.600000e+01  39.000  4.074112e+00
-1.600000e+01  48.000  2.563704e+00
-1.600000e+01  58.000  1.779136e+00
-1.600000e+01  88.000  6.030433e-01
-1.600000e+01  108.000  3.386684e-01
-1.600000e+01  132.000  1.607660e-01
-1.600000e+01  162.000  2.824737e-02
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
-1.600000e+01  3.000000e+02  0.0
-1.630000e+01  5.000  4.551355e+00
-1.630000e+01  6.000  5.075008e+00
-1.630000e+01  8.000  4.899327e+00
-1.630000e+01  9.000  5.037003e+00
-1.630000e+01  11.000  6.930784e+00
-1.630000e+01  14.000  7.199979e+00
-1.630000e+01  17.000  8.575583e+00
-1.630000e+01  21.000  6.277817e+00
-1.630000e+01  26.000  5.518326e+00
-1.630000e+01  32.000  4.508602e+00
-1.630000e+01  39.000  3.457242e+00
-1.630000e+01  48.000  2.386738e+00
-1.630000e+01  58.000  1.575604e+00
-1.630000e+01  88.000  5.680443e-01
-1.630000e+01  108.000  2.568621e-01
-1.630000e+01  132.000  5.541673e-02
-1.630000e+01  1.620000e+02  0.0
-1.630000e+01  1.990000e+02  0.0
-1.630000e+01  2.440000e+02  0.0
-1.630000e+01  3.000000e+02  0.0
-1.670000e+01  5.000  4.783153e+00
