# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  4.806633e-14
-1.330000e+01  6.000  3.357636e-11
-1.330000e+01  8.000  2.070866e-08
-1.330000e+01  9.000  4.641710e-07
-1.330000e+01  11.000  1.538507e-05
-1.330000e+01  14.000  2.427560e-04
-1.330000e+01  17.000  1.088496e-03
-1.330000e+01  21.000  4.433544e-03
-1.330000e+01  26.000  8.770883e-03
-1.330000e+01  32.000  1.383810e-02
-1.330000e+01  39.000  1.465143e-02
-1.330000e+01  48.000  2.912174e-02
-1.330000e+01  58.000  1.644913e-02
-1.330000e+01  88.000  1.738500e-02
-1.330000e+01  108.000  6.118523e-03
-1.330000e+01  132.000  4.618810e-03
-1.330000e+01  162.000  3.890943e-03
-1.330000e+01  199.000  1.587496e-03
-1.330000e+01  244.000  3.153957e-04
-1.330000e+01  300.000  1.228817e-04
-1.370000e+01  5.000  7.460729e-11
-1.370000e+01  6.000  1.618686e-08
-1.370000e+01  8.000  1.523640e-06
-1.370000e+01  9.000  2.367039e-05
-1.370000e+01  11.000  2.687173e-04
-1.370000e+01  14.000  2.076581e-03
-1.370000e+01  17.000  6.669379e-03
-1.370000e+01  21.000  1.651573e-02
-1.370000e+01  26.000  2.429056e-02
-1.370000e+01  32.000  1.971897e-02
-1.370000e+01  39.000  1.064042e-01
-1.370000e+01  48.000  4.921196e-02
-1.370000e+01  58.000  5.797319e-02
-1.370000e+01  88.000  2.687913e-02
-1.370000e+01  108.000  1.516840e-02
-1.370000e+01  132.000  1.022722e-02
-1.370000e+01  162.000  6.148232e-03
-1.370000e+01  199.000  2.218941e-03
-1.370000e+01  244.000  6.082518e-04
-1.370000e+01  300.000  4.061330e-04
-1.400000e+01  5.000  3.838739e-08
-1.400000e+01  6.000  1.523586e-06
-1.400000e+01  8.000  4.774674e-05
-1.400000e+01  9.000  5.170021e-04
-1.400000e+01  11.000  3.265059e-03
-1.400000e+01  14.000  1.027231e-02
-1.400000e+01  17.000  4.312754e-02
-1.400000e+01  21.000  6.411345e-02
-1.400000e+01  26.000  8.604326e-02
-1.400000e+01  32.000  2.035062e-01
-1.400000e+01  39.000  2.483791e-01
-1.400000e+01  48.000  1.364792e-01
-1.400000e+01  58.000  2.259731e-01
-1.400000e+01  88.000  5.007496e-02
-1.400000e+01  108.000  4.399773e-02
-1.400000e+01  132.000  2.906427e-02
-1.400000e+01  162.000  1.239952e-02
-1.400000e+01  199.000  3.010797e-03
-1.400000e+01  244.000  1.327036e-03
-1.400000e+01  300.000  1.282850e-03
-1.430000e+01  5.000  5.617676e-06
-1.430000e+01  6.000  1.167769e-04
-1.430000e+01  8.000  1.158444e-03
-1.430000e+01  9.000  7.678982e-03
-1.430000e+01  11.000  2.047791e-02
-1.430000e+01  14.000  5.575945e-02
-1.430000e+01  17.000  1.486034e-01
-1.430000e+01  21.000  1.976869e-01
-1.430000e+01  26.000  4.914800e-01
