# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.192423e-02
-1.330000e+01  6.000  4.484200e-02
-1.330000e+01  8.000  1.858622e-01
-1.330000e+01  9.000  1.867252e-01
-1.330000e+01  11.000  3.385573e-01
-1.330000e+01  14.000  5.021762e-01
-1.330000e+01  17.000  4.159769e-01
-1.330000e+01  21.000  4.552198e-01
-1.330000e+01  26.000  3.313519e-01
-1.330000e+01  32.000  2.400794e-01
-1.330000e+01  39.000  1.001880e-01
-1.330000e+01  48.000  1.282030e-01
-1.330000e+01  58.000  5.577307e-02
-1.330000e+01  88.000  4.207183e-02
-1.330000e+01  108.000  9.858016e-03
-1.330000e+01  132.000  5.795725e-03
-1.330000e+01  162.000  3.958351e-03
-1.330000e+01  199.000  1.342467e-03
-1.330000e+01  244.000  2.310149e-04
-1.330000e+01  300.000  7.797977e-05
-1.370000e+01  5.000  7.263160e-02
-1.370000e+01  6.000  2.635207e-01
-1.370000e+01  8.000  4.889627e-01
-1.370000e+01  9.000  6.364857e-01
-1.370000e+01  11.000  8.234798e-01
-1.370000e+01  14.000  1.006743e+00
-1.370000e+01  17.000  8.952961e-01
-1.370000e+01  21.000  7.650631e-01
-1.370000e+01  26.000  4.906548e-01
-1.370000e+01  32.000  2.072154e-01
-1.370000e+01  39.000  4.932910e-01
-1.370000e+01  48.000  1.787589e-01
-1.370000e+01  58.000  1.496641e-01
-1.370000e+01  88.000  4.493098e-02
-1.370000e+01  108.000  1.894934e-02
-1.370000e+01  132.000  1.037332e-02
-1.370000e+01  162.000  5.313695e-03
-1.370000e+01  199.000  1.629803e-03
-1.370000e+01  244.000  3.945628e-04
-1.370000e+01  300.000  2.363712e-04
-1.400000e+01  5.000  4.944775e-01
-1.400000e+01  6.000  7.562513e-01
-1.400000e+01  8.000  1.247149e+00
-1.400000e+01  9.000  1.957021e+00
-1.400000e+01  11.000  2.200505e+00
-1.400000e+01  14.000  1.644919e+00
-1.400000e+01  17.000  2.423890e+00
-1.400000e+01  21.000  1.514966e+00
-1.400000e+01  26.000  1.009712e+00
-1.400000e+01  32.000  1.374883e+00
-1.400000e+01  39.000  9.800335e-01
-1.400000e+01  48.000  3.484999e-01
-1.400000e+01  58.000  3.909269e-01
-1.400000e+01  88.000  6.125973e-02
-1.400000e+01  108.000  4.485092e-02
-1.400000e+01  132.000  2.464285e-02
-1.400000e+01  162.000  9.160883e-03
-1.400000e+01  199.000  1.969269e-03
-1.400000e+01  244.000  7.803339e-04
-1.400000e+01  300.000  6.889214e-04
-1.430000e+01  5.000  2.529136e+00
-1.430000e+01  6.000  3.788745e+00
-1.430000e+01  8.000  4.104952e+00
-1.430000e+01  9.000  6.016946e+00
-1.430000e+01  11.000  4.215129e+00
-1.430000e+01  14.000  3.646953e+00
-1.430000e+01  17.000  4.097265e+00
-1.430000e+01  21.000  2.638506e+00
-1.430000e+01  26.000  3.587910e+00
-1.430000e+01  32.000  1.348656e+00
-1.430000e+01  39.000  1.166535e+00
-1.430000e+01  48.000  1.509061e+00
-1.430000e+01  58.000  5.240871e-01
-1.430000e+01  88.000  1.407900e-01
-1.430000e+01  108.000  8.504153e-02
-1.430000e+01  132.000  3.582196e-02
-1.430000e+01  162.000  9.792072e-03
-1.430000e+01  199.000  4.060044e-03
-1.430000e+01  244.000  2.708759e-03
-1.430000e+01  300.000  9.017376e-04
-1.470000e+01  5.000  7.476055e+00
-1.470000e+01  6.000  1.067799e+01
-1.470000e+01  8.000  7.606678e+00
-1.470000e+01  9.000  9.235094e+00
-1.470000e+01  11.000  8.175094e+00
-1.470000e+01  14.000  9.550677e+00
-1.470000e+01  17.000  5.481164e+00
-1.470000e+01  21.000  2.383446e+00
-1.470000e+01  26.000  3.696739e+00
-1.470000e+01  32.000  3.055624e+00
-1.470000e+01  39.000  1.447477e+00
-1.470000e+01  48.000  5.438363e-01
-1.470000e+01  58.000  3.762254e-01
-1.470000e+01  88.000  1.802774e-01
-1.470000e+01  108.000  8.907263e-02
-1.470000e+01  132.000  3.300933e-02
-1.470000e+01  162.000  9.828336e-03
-1.470000e+01  199.000  5.660739e-03
-1.470000e+01  244.000  3.688079e-03
-1.470000e+01  300.000  3.612823e-04
-1.500000e+01  5.000  1.737709e+01
-1.500000e+01  6.000  1.955663e+01
-1.500000e+01  8.000  1.845778e+01
-1.500000e+01  9.000  1.798061e+01
-1.500000e+01  11.000  1.756663e+01
-1.500000e+01  14.000  1.236629e+01
-1.500000e+01  17.000  9.507929e+00
-1.500000e+01  21.000  7.510898e+00
-1.500000e+01  26.000  4.264054e+00
-1.500000e+01  32.000  2.362699e+00
-1.500000e+01  39.000  1.579528e+00
-1.500000e+01  48.000  1.310963e+00
-1.500000e+01  58.000  5.198286e-01
-1.500000e+01  88.000  2.147983e-01
-1.500000e+01  108.000  1.015917e-01
