# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  3.093934e-04
-1.330000e+01  6.000  1.501020e-03
-1.330000e+01  8.000  8.751469e-03
-1.330000e+01  9.000  1.112807e-02
-1.330000e+01  11.000  2.590617e-02
-1.330000e+01  14.000  4.673780e-02
-1.330000e+01  17.000  4.316685e-02
-1.330000e+01  21.000  4.985204e-02
-1.330000e+01  26.000  3.698082e-02
-1.330000e+01  32.000  2.689260e-02
-1.330000e+01  39.000  1.120083e-02
-1.330000e+01  48.000  1.429360e-02
-1.330000e+01  58.000  6.208130e-03
-1.330000e+01  88.000  4.676194e-03
-1.330000e+01  108.000  1.096777e-03
-1.330000e+01  132.000  6.447911e-04
-1.330000e+01  162.000  4.404926e-04
-1.330000e+01  199.000  1.494290e-04
-1.330000e+01  244.000  2.571839e-05
-1.330000e+01  300.000  8.682687e-06
-1.370000e+01  5.000  2.379865e-03
-1.370000e+01  6.000  1.126317e-02
-1.370000e+01  8.000  2.902099e-02
-1.370000e+01  9.000  4.668547e-02
-1.370000e+01  11.000  7.315140e-02
-1.370000e+01  14.000  1.025222e-01
-1.370000e+01  17.000  9.713460e-02
-1.370000e+01  21.000  8.534436e-02
-1.370000e+01  26.000  5.510917e-02
-1.370000e+01  32.000  2.323866e-02
-1.370000e+01  39.000  5.514429e-02
-1.370000e+01  48.000  1.993132e-02
-1.370000e+01  58.000  1.667635e-02
-1.370000e+01  88.000  5.001784e-03
-1.370000e+01  108.000  2.109041e-03
-1.370000e+01  132.000  1.154656e-03
-1.370000e+01  162.000  5.915296e-04
-1.370000e+01  199.000  1.814599e-04
-1.370000e+01  244.000  4.393421e-05
-1.370000e+01  300.000  2.632183e-05
-1.400000e+01  5.000  2.072497e-02
-1.400000e+01  6.000  4.125262e-02
-1.400000e+01  8.000  9.016084e-02
-1.400000e+01  9.000  1.676960e-01
-1.400000e+01  11.000  2.170128e-01
-1.400000e+01  14.000  1.767121e-01
-1.400000e+01  17.000  2.695900e-01
-1.400000e+01  21.000  1.704521e-01
-1.400000e+01  26.000  1.136396e-01
-1.400000e+01  32.000  1.542112e-01
-1.400000e+01  39.000  1.095442e-01
-1.400000e+01  48.000  3.891196e-02
-1.400000e+01  58.000  4.360730e-02
-1.400000e+01  88.000  6.822974e-03
-1.400000e+01  108.000  4.994278e-03
-1.400000e+01  132.000  2.744090e-03
-1.400000e+01  162.000  1.020119e-03
-1.400000e+01  199.000  2.192971e-04
-1.400000e+01  244.000  8.690113e-05
-1.400000e+01  300.000  7.672409e-05
-1.430000e+01  5.000  1.349023e-01
-1.430000e+01  6.000  2.580806e-01
-1.430000e+01  8.000  3.491127e-01
-1.430000e+01  9.000  5.793851e-01
-1.430000e+01  11.000  4.444119e-01
-1.430000e+01  14.000  4.037890e-01
-1.430000e+01  17.000  4.610148e-01
-1.430000e+01  21.000  2.979152e-01
-1.430000e+01  26.000  4.039100e-01
-1.430000e+01  32.000  1.512195e-01
-1.430000e+01  39.000  1.306370e-01
-1.430000e+01  48.000  1.688505e-01
-1.430000e+01  58.000  5.851496e-02
-1.430000e+01  88.000  1.568874e-02
-1.430000e+01  108.000  9.473751e-03
-1.430000e+01  132.000  3.990135e-03
-1.430000e+01  162.000  1.090648e-03
-1.430000e+01  199.000  4.521966e-04
-1.430000e+01  244.000  3.016964e-04
-1.430000e+01  300.000  1.004339e-04
-1.470000e+01  5.000  4.970177e-01
-1.470000e+01  6.000  8.656012e-01
-1.470000e+01  8.000  7.283766e-01
-1.470000e+01  9.000  9.597166e-01
-1.470000e+01  11.000  8.972539e-01
-1.470000e+01  14.000  1.074330e+00
-1.470000e+01  17.000  6.204054e-01
-1.470000e+01  21.000  2.693147e-01
-1.470000e+01  26.000  4.159929e-01
-1.470000e+01  32.000  3.427140e-01
-1.470000e+01  39.000  1.621882e-01
-1.470000e+01  48.000  6.082837e-02
-1.470000e+01  58.000  4.202480e-02
-1.470000e+01  88.000  2.009681e-02
-1.470000e+01  108.000  9.926173e-03
-1.470000e+01  132.000  3.677788e-03
-1.470000e+01  162.000  1.094891e-03
-1.470000e+01  199.000  6.305700e-04
-1.470000e+01  244.000  4.108014e-04
-1.470000e+01  300.000  4.023933e-05
-1.500000e+01  5.000  1.388346e+00
-1.500000e+01  6.000  1.807223e+00
-1.500000e+01  8.000  1.909055e+00
-1.500000e+01  9.000  1.957893e+00
-1.500000e+01  11.000  1.970454e+00
-1.500000e+01  14.000  1.401550e+00
-1.500000e+01  17.000  1.077825e+00
-1.500000e+01  21.000  8.484405e-01
-1.500000e+01  26.000  4.801324e-01
-1.500000e+01  32.000  2.654323e-01
-1.500000e+01  39.000  1.770851e-01
-1.500000e+01  48.000  1.466811e-01
-1.500000e+01  58.000  5.808489e-02
-1.500000e+01  88.000  2.395379e-02
-1.500000e+01  108.000  1.132459e-02
-1.500000e+01  132.000  4.361784e-03
-1.500000e+01  162.000  2.137644e-03
-1.500000e+01  199.000  1.396319e-03
-1.500000e+01  244.000  2.838910e-04
-1.500000e+01  300.000  1.032472e-05
-1.530000e+01  5.000  3.031232e+00
-1.530000e+01  6.000  3.776885e+00
-1.530000e+01  8.000  2.655533e+00
-1.530000e+01  9.000  3.116133e+00
-1.530000e+01  11.000  2.463505e+00
-1.530000e+01  14.000  1.683037e+00
-1.530000e+01  17.000  1.332952e+00
-1.530000e+01  21.000  9.727765e-01
-1.530000e+01  26.000  6.681558e-01
-1.530000e+01  32.000  4.617597e-01
-1.530000e+01  39.000  2.599844e-01
-1.530000e+01  48.000  1.167496e-01
-1.530000e+01  58.000  8.801655e-02
-1.530000e+01  88.000  2.664432e-02
-1.530000e+01  108.000  1.077447e-02
-1.530000e+01  132.000  5.058089e-03
-1.530000e+01  162.000  3.672193e-03
-1.530000e+01  199.000  1.156354e-03
-1.530000e+01  244.000  8.896407e-05
-1.530000e+01  300.000  2.313412e-06
-1.570000e+01  5.000  4.018997e+00
-1.570000e+01  6.000  3.517062e+00
-1.570000e+01  8.000  2.566632e+00
-1.570000e+01  9.000  2.417596e+00
-1.570000e+01  11.000  1.562724e+00
-1.570000e+01  14.000  8.943288e-01
-1.570000e+01  17.000  8.383882e-01
-1.570000e+01  21.000  6.624487e-01
-1.570000e+01  26.000  4.567511e-01
-1.570000e+01  32.000  2.722461e-01
-1.570000e+01  39.000  1.705016e-01
-1.570000e+01  48.000  1.072887e-01
-1.570000e+01  58.000  6.686396e-02
-1.570000e+01  88.000  1.688755e-02
-1.570000e+01  108.000  9.298765e-03
-1.570000e+01  132.000  5.754089e-03
-1.570000e+01  162.000  2.440058e-03
-1.570000e+01  199.000  3.144523e-04
-1.570000e+01  244.000  1.471430e-05
-1.570000e+01  3.000000e+02  0.0
-1.600000e+01  5.000  4.211823e+00
-1.600000e+01  6.000  3.870759e+00
-1.600000e+01  8.000  2.304791e+00
-1.600000e+01  9.000  1.874401e+00
-1.600000e+01  11.000  1.285388e+00
-1.600000e+01  14.000  1.090990e+00
-1.600000e+01  17.000  6.994513e-01
-1.600000e+01  21.000  6.255719e-01
-1.600000e+01  26.000  4.102275e-01
-1.600000e+01  32.000  2.555056e-01
-1.600000e+01  39.000  1.470409e-01
-1.600000e+01  48.000  8.138232e-02
-1.600000e+01  58.000  5.087489e-02
-1.600000e+01  88.000  1.744298e-02
-1.600000e+01  108.000  1.015015e-02
-1.600000e+01  132.000  4.979599e-03
-1.600000e+01  162.000  8.841072e-04
-1.600000e+01  1.990000e+02  0.0
-1.600000e+01  2.440000e+02  0.0
-1.600000e+01  3.000000e+02  0.0
-1.630000e+01  5.000  5.270654e+00
-1.630000e+01  6.000  3.254813e+00
-1.630000e+01  8.000  1.906092e+00
-1.630000e+01  9.000  1.577308e+00
-1.630000e+01  11.000  1.247933e+00
-1.630000e+01  14.000  8.378128e-01
-1.630000e+01  17.000  7.344284e-01
-1.630000e+01  21.000  4.013918e-01
-1.630000e+01  26.000  2.833491e-01
-1.630000e+01  32.000  1.910943e-01
-1.630000e+01  39.000  1.002781e-01
-1.630000e+01  48.000  6.183235e-02
-1.630000e+01  58.000  3.727100e-02
-1.630000e+01  88.000  1.567535e-02
-1.630000e+01  108.000  7.396473e-03
-1.630000e+01  132.000  1.619903e-03
-1.630000e+01  1.620000e+02  0.0
-1.630000e+01  1.990000e+02  0.0
-1.630000e+01  2.440000e+02  0.0
-1.630000e+01  3.000000e+02  0.0
-1.670000e+01  5.000  3.042712e+00
-1.670000e+01  6.000  2.353717e+00
-1.670000e+01  8.000  1.303758e+00
-1.670000e+01  9.000  1.161148e+00
