# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  1.780417e-18
-1.330000e+01  6.000  1.158873e-14
-1.330000e+01  8.000  5.605975e-11
-1.330000e+01  9.000  5.345803e-09
-1.330000e+01  11.000  6.565553e-07
-1.330000e+01  14.000  3.015359e-05
-1.330000e+01  17.000  2.937655e-04
-1.330000e+01  21.000  2.085663e-03
-1.330000e+01  26.000  5.912060e-03
-1.330000e+01  32.000  1.154289e-02
-1.330000e+01  39.000  1.414129e-02
-1.330000e+01  48.000  2.876484e-02
-1.330000e+01  58.000  1.616181e-02
-1.330000e+01  88.000  1.646569e-02
-1.330000e+01  108.000  5.381774e-03
-1.330000e+01  132.000  3.791634e-03
-1.330000e+01  162.000  2.979040e-03
-1.330000e+01  199.000  1.137985e-03
-1.330000e+01  244.000  2.143219e-04
-1.330000e+01  300.000  7.908867e-05
-1.370000e+01  5.000  3.919290e-14
-1.370000e+01  6.000  4.822856e-11
-1.370000e+01  8.000  2.256930e-08
-1.370000e+01  9.000  1.087604e-06
-1.370000e+01  11.000  3.158231e-05
-1.370000e+01  14.000  5.337524e-04
-1.370000e+01  17.000  2.898633e-03
-1.370000e+01  21.000  1.050259e-02
-1.370000e+01  26.000  1.952994e-02
-1.370000e+01  32.000  1.803979e-02
-1.370000e+01  39.000  1.049283e-01
-1.370000e+01  48.000  4.854932e-02
-1.370000e+01  58.000  5.612175e-02
-1.370000e+01  88.000  2.410006e-02
-1.370000e+01  108.000  1.260917e-02
-1.370000e+01  132.000  7.918609e-03
-1.370000e+01  162.000  4.477997e-03
-1.370000e+01  199.000  1.518905e-03
-1.370000e+01  244.000  3.963617e-04
-1.370000e+01  300.000  2.533062e-04
-1.400000e+01  5.000  1.552608e-10
-1.400000e+01  6.000  2.417143e-08
-1.400000e+01  8.000  2.448036e-06
-1.400000e+01  9.000  6.188219e-05
-1.400000e+01  11.000  7.910293e-04
-1.400000e+01  14.000  4.319194e-03
-1.400000e+01  17.000  2.613054e-02
-1.400000e+01  21.000  4.970137e-02
-1.400000e+01  26.000  7.718354e-02
-1.400000e+01  32.000  1.960420e-01
-1.400000e+01  39.000  2.453964e-01
-1.400000e+01  48.000  1.328216e-01
-1.400000e+01  58.000  2.098141e-01
-1.400000e+01  88.000  4.216150e-02
-1.400000e+01  108.000  3.467560e-02
-1.400000e+01  132.000  2.132582e-02
-1.400000e+01  162.000  8.588897e-03
-1.400000e+01  199.000  1.981638e-03
-1.400000e+01  244.000  8.350405e-04
-1.400000e+01  300.000  7.764964e-04
-1.430000e+01  5.000  1.069595e-07
-1.430000e+01  6.000  6.573568e-06
-1.430000e+01  8.000  1.525344e-04
-1.430000e+01  9.000  1.881564e-03
-1.430000e+01  11.000  8.237557e-03
-1.430000e+01  14.000  3.280130e-02
-1.430000e+01  17.000  1.115091e-01
-1.430000e+01  21.000  1.731721e-01
-1.430000e+01  26.000  4.685930e-01
-1.430000e+01  32.000  2.764049e-01
-1.430000e+01  39.000  4.723182e-01
-1.430000e+01  48.000  8.457737e-01
-1.430000e+01  58.000  3.681453e-01
-1.430000e+01  88.000  1.144944e-01
-1.430000e+01  108.000  7.564896e-02
-1.430000e+01  132.000  3.434549e-02
-1.430000e+01  162.000  1.001331e-02
-1.430000e+01  199.000  4.392575e-03
-1.430000e+01  244.000  3.101289e-03
-1.430000e+01  300.000  1.071595e-03
-1.470000e+01  5.000  1.416900e-05
-1.470000e+01  6.000  3.382700e-04
-1.470000e+01  8.000  2.655564e-03
-1.470000e+01  9.000  1.630742e-02
-1.470000e+01  11.000  6.055852e-02
-1.470000e+01  14.000  2.290823e-01
-1.470000e+01  17.000  3.202937e-01
-1.470000e+01  21.000  2.825469e-01
-1.470000e+01  26.000  6.885641e-01
-1.470000e+01  32.000  7.876213e-01
-1.470000e+01  39.000  8.176025e-01
-1.470000e+01  48.000  3.935737e-01
-1.470000e+01  58.000  3.264134e-01
-1.470000e+01  88.000  1.676054e-01
-1.470000e+01  108.000  8.886520e-02
-1.470000e+01  132.000  3.490447e-02
-1.470000e+01  162.000  1.092059e-02
-1.470000e+01  199.000  6.622094e-03
-1.470000e+01  244.000  4.418218e-03
-1.470000e+01  300.000  4.327009e-04
-1.500000e+01  5.000  6.175836e-04
-1.500000e+01  6.000  5.736884e-03
-1.500000e+01  8.000  3.429512e-02
-1.500000e+01  9.000  1.225412e-01
-1.500000e+01  11.000  3.684248e-01
-1.500000e+01  14.000  6.594845e-01
-1.500000e+01  17.000  1.044924e+00
-1.500000e+01  21.000  1.253348e+00
-1.500000e+01  26.000  1.100956e+00
-1.500000e+01  32.000  1.030532e+00
-1.500000e+01  39.000  1.177206e+00
-1.500000e+01  48.000  1.194984e+00
