# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  7.738566e-19
-1.330000e+01  6.000  5.137796e-15
-1.330000e+01  8.000  2.554580e-11
-1.330000e+01  9.000  2.510482e-09
-1.330000e+01  11.000  3.209468e-07
-1.330000e+01  14.000  1.552161e-05
-1.330000e+01  17.000  1.606209e-04
-1.330000e+01  21.000  1.222175e-03
-1.330000e+01  26.000  3.725778e-03
-1.330000e+01  32.000  7.810230e-03
-1.330000e+01  39.000  1.053829e-02
-1.330000e+01  48.000  2.246655e-02
-1.330000e+01  58.000  1.296320e-02
-1.330000e+01  88.000  1.360579e-02
-1.330000e+01  108.000  4.552932e-03
-1.330000e+01  132.000  3.247662e-03
-1.330000e+01  162.000  2.573068e-03
-1.330000e+01  199.000  9.891960e-04
-1.330000e+01  244.000  1.871442e-04
-1.330000e+01  300.000  6.935063e-05
-1.370000e+01  5.000  1.746878e-14
-1.370000e+01  6.000  2.204280e-11
-1.370000e+01  8.000  1.068023e-08
-1.370000e+01  9.000  5.342968e-07
-1.370000e+01  11.000  1.625018e-05
-1.370000e+01  14.000  2.913011e-04
-1.370000e+01  17.000  1.683002e-03
-1.370000e+01  21.000  6.540889e-03
-1.370000e+01  26.000  1.304061e-02
-1.370000e+01  32.000  1.283976e-02
-1.370000e+01  39.000  8.126647e-02
-1.370000e+01  48.000  3.859089e-02
-1.370000e+01  58.000  4.590776e-02
-1.370000e+01  88.000  2.034372e-02
-1.370000e+01  108.000  1.079630e-02
-1.370000e+01  132.000  6.839039e-03
-1.370000e+01  162.000  3.889597e-03
-1.370000e+01  199.000  1.326187e-03
-1.370000e+01  244.000  3.473452e-04
-1.370000e+01  300.000  2.226530e-04
-1.400000e+01  5.000  7.141044e-11
-1.400000e+01  6.000  1.147861e-08
-1.400000e+01  8.000  1.209438e-06
-1.400000e+01  9.000  3.194689e-05
-1.400000e+01  11.000  4.306788e-04
-1.400000e+01  14.000  2.503235e-03
-1.400000e+01  17.000  1.614490e-02
-1.400000e+01  21.000  3.283136e-02
-1.400000e+01  26.000  5.432714e-02
-1.400000e+01  32.000  1.459487e-01
-1.400000e+01  39.000  1.929401e-01
-1.400000e+01  48.000  1.083190e-01
-1.400000e+01  58.000  1.758313e-01
-1.400000e+01  88.000  3.609575e-02
-1.400000e+01  108.000  2.993033e-02
-1.400000e+01  132.000  1.853312e-02
-1.400000e+01  162.000  7.497621e-03
-1.400000e+01  199.000  1.736174e-03
-1.400000e+01  244.000  7.337980e-04
-1.400000e+01  300.000  6.840044e-04
-1.430000e+01  5.000  5.110585e-08
-1.430000e+01  6.000  3.267003e-06
-1.430000e+01  8.000  7.932744e-05
-1.430000e+01  9.000  1.027952e-03
-1.430000e+01  11.000  4.760190e-03
-1.430000e+01  14.000  2.019758e-02
-1.430000e+01  17.000  7.307865e-02
-1.430000e+01  21.000  1.206373e-01
-1.430000e+01  26.000  3.458185e-01
-1.430000e+01  32.000  2.127715e-01
-1.430000e+01  39.000  3.850176e-01
-1.430000e+01  48.000  7.079462e-01
-1.430000e+01  58.000  3.135310e-01
-1.430000e+01  88.000  9.889470e-02
-1.430000e+01  108.000  6.575172e-02
-1.430000e+01  132.000  2.998946e-02
-1.430000e+01  162.000  8.774808e-03
-1.430000e+01  199.000  3.860564e-03
-1.430000e+01  244.000  2.733106e-03
-1.430000e+01  300.000  9.460405e-04
-1.470000e+01  5.000  7.077177e-06
-1.470000e+01  6.000  1.767577e-04
-1.470000e+01  8.000  1.461420e-03
-1.470000e+01  9.000  9.453902e-03
-1.470000e+01  11.000  3.722260e-02
-1.470000e+01  14.000  1.497047e-01
-1.470000e+01  17.000  2.219330e-01
