# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  4.622781e-15
-1.330000e+01  6.000  8.369095e-12
-1.330000e+01  8.000  1.238334e-08
-1.330000e+01  9.000  5.038334e-07
-1.330000e+01  11.000  2.829463e-05
-1.330000e+01  14.000  6.716499e-04
-1.330000e+01  17.000  3.933980e-03
-1.330000e+01  21.000  1.875000e-02
-1.330000e+01  26.000  3.960617e-02
-1.330000e+01  32.000  6.260351e-02
-1.330000e+01  39.000  6.214566e-02
-1.330000e+01  48.000  1.168040e-01
-1.330000e+01  58.000  6.331003e-02
-1.330000e+01  88.000  6.289854e-02
-1.330000e+01  108.000  2.054277e-02
-1.330000e+01  132.000  1.468105e-02
-1.330000e+01  162.000  1.173565e-02
-1.330000e+01  199.000  4.564410e-03
-1.330000e+01  244.000  8.728381e-04
-1.330000e+01  300.000  3.272857e-04
-1.370000e+01  5.000  2.196874e-11
-1.370000e+01  6.000  9.904356e-09
-1.370000e+01  8.000  1.817538e-06
-1.370000e+01  9.000  4.436006e-05
-1.370000e+01  11.000  7.219877e-04
-1.370000e+01  14.000  7.346430e-03
-1.370000e+01  17.000  2.756026e-02
-1.370000e+01  21.000  7.387498e-02
-1.370000e+01  26.000  1.101106e-01
-1.370000e+01  32.000  8.693370e-02
-1.370000e+01  39.000  4.315934e-01
-1.370000e+01  48.000  1.922606e-01
-1.370000e+01  58.000  2.150479e-01
-1.370000e+01  88.000  9.152578e-02
-1.370000e+01  108.000  4.855761e-02
-1.370000e+01  132.000  3.106327e-02
-1.370000e+01  162.000  1.787140e-02
-1.370000e+01  199.000  6.171004e-03
-1.370000e+01  244.000  1.633993e-03
-1.370000e+01  300.000  1.058194e-03
-1.400000e+01  5.000  2.646314e-08
-1.400000e+01  6.000  1.846254e-06
-1.400000e+01  8.000  9.291245e-05
-1.400000e+01  9.000  1.388746e-03
-1.400000e+01  11.000  1.125799e-02
-1.400000e+01  14.000  4.191997e-02
-1.400000e+01  17.000  1.909357e-01
-1.400000e+01  21.000  2.903657e-01
-1.400000e+01  26.000  3.817390e-01
-1.400000e+01  32.000  8.638586e-01
-1.400000e+01  39.000  9.865108e-01
-1.400000e+01  48.000  5.095898e-01
-1.400000e+01  58.000  7.912075e-01
-1.400000e+01  88.000  1.613401e-01
-1.400000e+01  108.000  1.351509e-01
