# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  5.777643e-16
-1.330000e+01  6.000  1.087947e-12
-1.330000e+01  8.000  1.707069e-09
-1.330000e+01  9.000  7.426701e-08
-1.330000e+01  11.000  4.593000e-06
-1.330000e+01  14.000  1.239486e-04
-1.330000e+01  17.000  8.409166e-04
-1.330000e+01  21.000  4.782936e-03
-1.330000e+01  26.000  1.206149e-02
-1.330000e+01  32.000  2.254282e-02
-1.330000e+01  39.000  2.785967e-02
-1.330000e+01  48.000  5.814661e-02
-1.330000e+01  58.000  3.339581e-02
-1.330000e+01  88.000  3.545988e-02
-1.330000e+01  108.000  1.219111e-02
-1.330000e+01  132.000  8.925581e-03
-1.330000e+01  162.000  7.236906e-03
-1.330000e+01  199.000  2.841698e-03
-1.330000e+01  244.000  5.466589e-04
-1.330000e+01  300.000  2.059905e-04
-1.370000e+01  5.000  2.884166e-12
-1.370000e+01  6.000  1.370896e-09
-1.370000e+01  8.000  2.721374e-07
-1.370000e+01  9.000  7.260294e-06
-1.370000e+01  11.000  1.323917e-04
-1.370000e+01  14.000  1.555890e-03
-1.370000e+01  17.000  6.841914e-03
-1.370000e+01  21.000  2.179299e-02
-1.370000e+01  26.000  3.837240e-02
-1.370000e+01  32.000  3.513691e-02
-1.370000e+01  39.000  2.109188e-01
-1.370000e+01  48.000  9.942085e-02
-1.370000e+01  58.000  1.186611e-01
-1.370000e+01  88.000  5.409959e-02
-1.370000e+01  108.000  2.952399e-02
-1.370000e+01  132.000  1.916788e-02
-1.370000e+01  162.000  1.112059e-02
-1.370000e+01  199.000  3.866237e-03
-1.370000e+01  244.000  1.028030e-03
-1.370000e+01  300.000  6.677890e-04
-1.400000e+01  5.000  3.708742e-09
-1.400000e+01  6.000  2.778684e-07
-1.400000e+01  8.000  1.538423e-05
-1.400000e+01  9.000  2.550673e-04
-1.400000e+01  11.000  2.357870e-03
-1.400000e+01  14.000  1.031356e-02
-1.400000e+01  17.000  5.503014e-02
-1.400000e+01  21.000  9.838364e-02
-1.400000e+01  26.000  1.502903e-01
-1.400000e+01  32.000  3.862657e-01
-1.400000e+01  39.000  4.986963e-01
-1.400000e+01  48.000  2.794796e-01
-1.400000e+01  58.000  4.611198e-01
-1.400000e+01  88.000  9.815208e-02
-1.400000e+01  108.000  8.339203e-02
-1.400000e+01  132.000  5.288031e-02
-1.400000e+01  162.000  2.178544e-02
-1.400000e+01  199.000  5.124499e-03
-1.400000e+01  244.000  2.195527e-03
-1.400000e+01  300.000  2.070422e-03
