# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  4.451877e-03
-1.330000e+01  6.000  2.947133e-02
-1.330000e+01  8.000  2.078451e-01
-1.330000e+01  9.000  2.761635e-01
-1.330000e+01  11.000  6.464359e-01
-1.330000e+01  14.000  1.163403e+00
-1.330000e+01  17.000  1.100234e+00
-1.330000e+01  21.000  1.348743e+00
-1.330000e+01  26.000  1.084771e+00
-1.330000e+01  32.000  8.540776e-01
-1.330000e+01  39.000  3.909117e-01
-1.330000e+01  48.000  5.159461e-01
-1.330000e+01  58.000  2.273328e-01
-1.330000e+01  88.000  1.736517e-01
-1.330000e+01  108.000  4.183284e-02
-1.330000e+01  132.000  2.487568e-02
-1.330000e+01  162.000  1.717248e-02
-1.330000e+01  199.000  5.881622e-03
-1.330000e+01  244.000  1.019866e-03
-1.330000e+01  300.000  3.469248e-04
-1.370000e+01  5.000  4.575384e-02
-1.370000e+01  6.000  2.571506e-01
-1.370000e+01  8.000  7.188399e-01
-1.370000e+01  9.000  1.165064e+00
-1.370000e+01  11.000  1.821082e+00
-1.370000e+01  14.000  2.597055e+00
-1.370000e+01  17.000  2.582476e+00
-1.370000e+01  21.000  2.452429e+00
-1.370000e+01  26.000  1.721645e+00
-1.370000e+01  32.000  7.786222e-01
-1.370000e+01  39.000  1.994477e+00
-1.370000e+01  48.000  7.305438e-01
-1.370000e+01  58.000  6.254792e-01
-1.370000e+01  88.000  1.909515e-01
-1.370000e+01  108.000  8.176145e-02
-1.370000e+01  132.000  4.517045e-02
-1.370000e+01  162.000  2.330238e-02
-1.370000e+01  199.000  7.205493e-03
-1.370000e+01  244.000  1.755015e-03
-1.370000e+01  300.000  1.056991e-03
-1.400000e+01  5.000  4.676827e-01
-1.400000e+01  6.000  1.007010e+00
-1.400000e+01  8.000  2.248756e+00
-1.400000e+01  9.000  4.177660e+00
-1.400000e+01  11.000  5.464767e+00
-1.400000e+01  14.000  4.649781e+00
-1.400000e+01  17.000  7.603030e+00
-1.400000e+01  21.000  5.229093e+00
-1.400000e+01  26.000  3.765799e+00
-1.400000e+01  32.000  5.409246e+00
-1.400000e+01  39.000  4.016593e+00
-1.400000e+01  48.000  1.474748e+00
-1.400000e+01  58.000  1.693446e+00
-1.400000e+01  88.000  2.667319e-01
-1.400000e+01  108.000  1.962926e-01
-1.400000e+01  132.000  1.086165e-01
-1.400000e+01  162.000  4.059214e-02
-1.400000e+01  199.000  8.770641e-03
-1.400000e+01  244.000  3.491633e-03
-1.400000e+01  300.000  3.095100e-03
-1.430000e+01  5.000  3.271096e+00
-1.430000e+01  6.000  6.417808e+00
-1.430000e+01  8.000  8.701250e+00
-1.430000e+01  9.000  1.456723e+01
-1.430000e+01  11.000  1.155264e+01
-1.430000e+01  14.000  1.122522e+01
