# log10(y)    mass[MeV]    Nhits
-1.330000e+01  5.000  3.195995e-05
-1.330000e+01  6.000  2.779056e-04
-1.330000e+01  8.000  2.828090e-03
-1.330000e+01  9.000  4.997533e-03
-1.330000e+01  11.000  1.657081e-02
-1.330000e+01  14.000  4.232341e-02
-1.330000e+01  17.000  5.282306e-02
-1.330000e+01  21.000  8.019510e-02
-1.330000e+01  26.000  7.414556e-02
-1.330000e+01  32.000  6.335913e-02
-1.330000e+01  39.000  3.093478e-02
-1.330000e+01  48.000  4.148127e-02
-1.330000e+01  58.000  1.837737e-02
-1.330000e+01  88.000  1.410939e-02
-1.330000e+01  108.000  3.447599e-03
-1.330000e+01  132.000  2.060837e-03
-1.330000e+01  162.000  1.429888e-03
-1.330000e+01  199.000  4.919945e-04
-1.330000e+01  244.000  8.560871e-05
-1.330000e+01  300.000  2.922239e-05
-1.370000e+01  5.000  4.275237e-04
-1.370000e+01  6.000  3.198693e-03
-1.370000e+01  8.000  1.306498e-02
-1.370000e+01  9.000  2.837630e-02
-1.370000e+01  11.000  6.102768e-02
-1.370000e+01  14.000  1.185251e-01
-1.370000e+01  17.000  1.463655e-01
-1.370000e+01  21.000  1.631051e-01
-1.370000e+01  26.000  1.261510e-01
-1.370000e+01  32.000  6.022373e-02
-1.370000e+01  39.000  1.610472e-01
-1.370000e+01  48.000  5.921544e-02
-1.370000e+01  58.000  5.124843e-02
-1.370000e+01  88.000  1.576761e-02
-1.370000e+01  108.000  6.792736e-03
-1.370000e+01  132.000  3.768425e-03
-1.370000e+01  162.000  1.950271e-03
-1.370000e+01  199.000  6.052752e-04
-1.370000e+01  244.000  1.478223e-04
-1.370000e+01  300.000  8.923692e-05
-1.400000e+01  5.000  5.775248e-03
-1.400000e+01  6.000  1.682865e-02
-1.400000e+01  8.000  5.412279e-02
-1.400000e+01  9.000  1.327412e-01
-1.400000e+01  11.000  2.319068e-01
-1.400000e+01  14.000  2.538407e-01
-1.400000e+01  17.000  4.902667e-01
-1.400000e+01  21.000  3.769633e-01
-1.400000e+01  26.000  2.899640e-01
-1.400000e+01  32.000  4.308757e-01
-1.400000e+01  39.000  3.266421e-01
-1.400000e+01  48.000  1.217788e-01
-1.400000e+01  58.000  1.411643e-01
-1.400000e+01  88.000  2.226694e-02
-1.400000e+01  108.000  1.641939e-02
-1.400000e+01  132.000  9.113455e-03
-1.400000e+01  162.000  3.413682e-03
-1.400000e+01  199.000  7.392202e-04
-1.400000e+01  244.000  2.948780e-04
-1.400000e+01  300.000  2.618436e-04
-1.430000e+01  5.000  5.399615e-02
